nyt_wage,nyt_name,oes,det_phys_prox,det_contact_others,det_exp_to_dis_or_inf,score,nyt_emp,oes_top,oes_fbpop,fbshare,oes_totpop,oes_fbobs,oes_totobs,aboveAVG,healthProfessions,fbshareColor,essential
47800,Dancers and Choreographers,272030,98.6873734,91.59419311,14.81363943,68.36506865,14810,27,2321,0.1193377525,19449,95,793,0,0,0.12,
49860,"Explosives Workers, Ordnance Handling Experts, and Blasters",475031,66,85,4,51.66666794,5640,47,,n/a,19170,38,950,0,0,0.00,
53540,Judicial Law Clerks,231012,33,65,3,33.66666794,16350,23,1592,0.08426401019,18893,68,946,0,0,0.08,
34170,Automotive Glass Installers and Repairers,493022,50,88,1,46.33333206,19640,49,2988,0.1609393507,18566,108,775,0,0,0.16,
29730,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",517042,51,66,1,39.33333206,78980,51,3020,0.1628383547,18546,116,950,0,0,0.16,
121010,Compensation and Benefits Managers,113111,32,91,1,41.33333206,15660,11,1372,0.07621798664,18001,59,905,0,0,0.08,
28243.42806,"Embalmers, Crematory Operators and Funeral Attendants",394010,77.45090079,84.44582593,56.99492515,72.96388396,39410,39,1049,0.05945364013,17644,58,927,0,0,0.06,1
75920,Audiologists,291181,67,92,68,75.66666412,13300,29,1101,0.06545000523,16822,57,900,0,1,0.07,
87644.79612,Biomedical and Agricultural Engineers,172020,48.68349515,76,29.86359223,51.51569579,20600,17,3630,0.2200400084,16497,159,759,1,0,0.22,
82330,Radiation Therapists,291124,98,99,95,97.33333588,18260,29,1342,0.08551038802,15694,69,812,0,1,0.09,
27460,Forest and Conservation Workers,454011,67,93,17,59,7510,45,2945,0.1888789088,15592,108,786,1,0,0.19,
37665.47338,"Other Machine Tool Setters, Operators, and Tenders, Metal and Plastic",514039,51.79767613,64.16494528,7.453215296,41.13861224,162660,51,2706,0.1755888611,15411,104,744,1,0,0.18,
28450,Merchandise Displayers and Window Trimmers,271026,67,89,2,52.66666794,128960,27,2080,0.1374661326,15131,102,724,0,0,0.14,
62150,Boilermakers,472011,69,79,15,54.33333206,13870,47,1364,0.09123135358,14951,52,663,0,0,0.09,
35800,New Accounts Clerks,434141,59,98,17,58,41500,43,1892,0.1269798726,14900,84,730,0,0,0.13,
47489.52516,"Fish and Game Wardens, and Parking Enforcement Officers",333030,53.69454288,81.13323884,18.98936924,51.27238365,14110,33,,n/a,14697,44,694,0,0,0.00,1
92560,Marine Engineers and Naval Architects,172121,56,71,3,43.33333206,11350,17,1502,0.1027781591,14614,75,770,0,0,0.10,
46630,Tire Builders,519197,57,66,3,42,23920,51,,n/a,14423,34,708,0,0,0.00,
42680,Solar Photovoltaic Installers,472231,68,74,2,48,8950,47,2377,0.1674769223,14193,84,612,0,0,0.17,
25750,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",533011,90,92,72,84.66666412,15380,53,2111,0.1520893425,13880,87,616,0,0,0.15,1
80180,Financial Examiners,132061,57,83,1,47,58590,13,1829,0.132258296,13829,88,698,0,0,0.13,
44140,Agricultural Inspectors,452011,68,90,18,58.66666794,13240,45,1984,0.1459252685,13596,87,721,0,0,0.15,
29326.57831,Shoe and Leather Workers and Repairers,516040,56.83614458,74.98313253,2.387951807,44.73574297,12450,51,4889,0.3763374686,12991,213,636,1,0,0.38,
31950,Furniture Finishers,517021,54,58,2,38,17250,51,2717,0.2123817652,12793,99,592,1,0,0.21,
50370,Riggers,499096,77,85,15,59,20970,49,,n/a,12599,42,572,0,0,0.00,
47860,Recreational Therapists,291125,73,91,40,68,18840,29,,n/a,12268,46,596,0,1,0.00,
39160,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",519051,61,66,14,47,17730,51,1635,0.1360459328,12018,62,610,0,0,0.14,
48612.33716,Engine and Other Machine Assemblers,512031,64.74876847,76.63820471,4.251231527,48.54606824,91350,51,1531,0.1283965111,11924,56,579,0,0,0.13,
94110,Atmospheric and Space Scientists,192021,46,69,1,38.66666794,9310,19,,n/a,11574,45,559,0,0,0.00,
73960,"Health Diagnosing and Treating Practitioners, All Other",291199,88,95,75,86,36680,29,2835,0.2462433726,11513,138,574,1,1,0.25,
39140,Proofreaders and Copy Markers,439081,53,93,0,48.66666794,9820,43,,n/a,11298,29,603,0,0,0.00,
36330,Animal Control Workers,339011,54,93,79,75.33333588,12080,33,,n/a,11268,18,555,0,0,0.00,1
56930,Rail-Track Laying and Maintenance Equipment Operators,474061,85,89,14,62.66666794,14410,47,,n/a,11179,47,495,0,0,0.00,
119282.4975,Astronomers and Physicists,192010,45.25278059,75.25278059,4.563195147,41.68958544,19780,19,2824,0.2621124983,10774,146,565,1,0,0.26,
74420,Emergency Management Directors,119161,52,91,15,52.66666794,9550,11,,n/a,10315,30,545,0,0,0.00,1
30120,Food Cooking Machine Operators and Tenders,513093,73,87,14,58,32260,51,2533,0.2523159683,10039,88,460,1,0,0.25,
31330,Etchers and Engravers,519194,46,60,0,35.33333206,8600,51,,n/a,9840,48,499,0,0,0.00,
33820,Adhesive Bonding Machine Operators and Tenders,519191,70,90,9,56.33333206,16310,51,2063,0.2111782134,9769,74,452,1,0,0.21,
30840,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",513091,35,74,6,38.33333206,21060,51,1913,0.2019423693,9473,75,455,1,0,0.20,
129550,Podiatrists,291081,95,92,87,91.33333588,9500,29,,n/a,8438,47,471,0,1,0.00,
