,Skill,Description,Skill Cluster,Skill Cluster Family,Postings_Requested,National Growth Category,Global Growth Category,est_fbPosting,fbShare_skill
19,Guest Services,"Working experience of Guest Services, which at a hotel are the services, amenities and help that the hotel provides for its guests.",Basic Customer Service,Customer and Client Support,53459,Stable,Stable,11172.931,0.209
20,Cleaning,"Cleaning is the process of removing unwanted substances, such as dirt, infectious agents, and other impurities, from an object or environment.",,,163788,Stable,Stable,56343.072,0.344
21,Housekeeping,"Housekeeping refers to the management of duties and chores involved in the running of a household, such as cleaning, cooking, home maintenance, shopping, laundry and bill pay.",Housekeeping,Personal Care and Services,90769,Stable,Stable,31224.536,0.344
22,Repair,"Restoration of a broken, damaged, or failed device, equipment, part, or property to an acceptable operating or usable condition or state.",,,43794,Stable,Stable,15065.136,0.344
23,Laundry,Laundry is the washing of clothing and linens.,Housekeeping,Personal Care and Services,32870,Growing,Growing,11307.280,0.344
24,Scheduling,"A schedule or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place.",Scheduling,Administration,25740,Stable,Stable,8854.560,0.344
25,Customer Service,"Customer service is the provision of service to customers before, during and after a purchase.",Basic Customer Service,Customer and Client Support,24770,Stable,Stable,8520.880,0.344
26,Equipment Cleaning,"Experience working with methods, and chemicals to facilitate and expedite the process of cleaning equipment.",Equipment Repair and Maintenance,"Maintenance, Repair, and Installation",21353,Stable,Stable,7345.432,0.344
27,Lifting Ability,"Requires Lifting Ability, which is the ability to raise and object to a higher position or level, or pick up and move an object to a different position.",Physical Abilities,Health Care,17915,Growing,Growing,6162.760,0.344
28,Furniture Moving,"Working experience of Furniture Moving, which is services for relocations like packing, loading, moving, unloading, unpacking, arranging of items to be shifted. Additional services may include cleaning services for houses, offices or warehousing facilities.",,,13956,Stable,Stable,4800.864,0.344
29,Occupational Health and Safety,"Occupational safety and health (OSH), also commonly referred to as occupational health and safety (OHS), occupational health, or workplace health and safety (WHS), is a multidisciplinary field concerned with the safety, health, and welfare of people at work.",Occupational Health and Safety,Human Resources,11655,Growing,Growing,4009.320,0.344
30,Patient Care,The services rendered by members of the health profession and non-professionals under their supervision for the benefit of the patient.,Basic Patient Care,Health Care,99635,Stable,Stable,22318.240,0.224
31,Cardiopulmonary Resuscitation (CPR),Cardiopulmonary resuscitation (CPR) is an emergency procedure that combines chest compressions often with artificial ventilation in an effort to manually preserve intact brain function until further measures are taken to restore spontaneous blood circulation and breathing in a person who is in cardiac arrest.,Emergency and Intensive Care,Health Care,61368,Stable,Stable,13746.432,0.224
32,Scheduling,"A schedule or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place.",Scheduling,Administration,59900,Stable,Stable,13417.600,0.224
33,Vital Signs Measurement,Vital signs (often shortened to just vitals) are a group of the 4 to 6 most important signs that indicate the status of the bodys vital (life-sustaining) functions.,Patient Physical Measurements,Health Care,48934,Stable,Stable,10961.216,0.224
34,Customer Service,"Customer service is the provision of service to customers before, during and after a purchase.",Basic Customer Service,Customer and Client Support,39858,Stable,Stable,8928.192,0.224
35,Bathing,"Bathing is the washing of the body with a fluid, usually water or an aqueous solution, or the immersion of the body in water.",Basic Living Activities Support,Health Care,39042,Stable,Stable,8745.408,0.224
36,Phlebotomy,Phlebotomy is the process of making an incision in a vein with a needle.,Blood Collection,Health Care,38538,Stable,Stable,8632.512,0.224
37,Activities of Daily Living (ADLS),Activities of daily living (ADLs or ADL) is a term used in healthcare to refer to people's daily self care activities.,Basic Living Activities Support,Health Care,37737,Stable,Stable,8453.088,0.224
38,ADLs Assistance,Activities of daily living (ADLs or ADL) is a term used in healthcare to refer to people's daily self care activities.,Basic Living Activities Support,Health Care,37619,Stable,Stable,8426.656,0.224
39,Home Health,"Home care (also referred to as domiciliary care, social care, or in-home care) is supportive care provided in the home.",Basic Living Activities Support,Health Care,36902,Stable,Stable,8266.048,0.224
40,Caregiving,A caregiver or carer is an unpaid or paid member of a person's social network who helps them with activities of daily living.,Basic Living Activities Support,Health Care,70841,Growing,Growing,13884.836,0.196
41,Meal Preparation,"Meal preparation, sometimes called meal prep, is the process of planning and preparing meals.",Food and Beverage Service,Personal Care and Services,39623,Stable,Stable,7766.108,0.196
42,Cardiopulmonary Resuscitation (CPR),Cardiopulmonary resuscitation (CPR) is an emergency procedure that combines chest compressions often with artificial ventilation in an effort to manually preserve intact brain function until further measures are taken to restore spontaneous blood circulation and breathing in a person who is in cardiac arrest.,Emergency and Intensive Care,Health Care,38587,Stable,Stable,7563.052,0.196
43,Scheduling,"A schedule or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place.",Scheduling,Administration,38512,Stable,Stable,7548.352,0.196
44,Bathing,"Bathing is the washing of the body with a fluid, usually water or an aqueous solution, or the immersion of the body in water.",Basic Living Activities Support,Health Care,36271,Stable,Stable,7109.116,0.196
45,Cleaning,"Cleaning is the process of removing unwanted substances, such as dirt, infectious agents, and other impurities, from an object or environment.",,,33901,Stable,Stable,6644.596,0.196
46,Child Care,"Child care or childcare, child minding, daycare, or preschool is the caring for and supervision of a child or children, usually from age six weeks to age thirteen.",Child Care,Personal Care and Services,33358,Stable,Stable,6538.168,0.196
47,Customer Service,"Customer service is the provision of service to customers before, during and after a purchase.",Basic Customer Service,Customer and Client Support,28059,Stable,Stable,5499.564,0.196
48,Home Care,"Home care (also referred to as domiciliary care, social care, or in-home care) is supportive care provided in the home.",Basic Living Activities Support,Health Care,23662,Stable,Stable,4637.752,0.196
49,Laundry,Laundry is the washing of clothing and linens.,Housekeeping,Personal Care and Services,22708,Growing,Growing,4450.768,0.196
50,Repair,"Restoration of a broken, damaged, or failed device, equipment, part, or property to an acceptable operating or usable condition or state.",,,49181,Stable,Stable,13623.137,0.277
51,Carpentry,"Carpentry is a skilled trade in which the primary work performed is the cutting, shaping and installation of building materials during the construction of buildings, ships, timber bridges, concrete formwork, etc.",Carpentry,Architecture and Construction,30227,Stable,Stable,8372.879,0.277
52,Painting,"Painting is the practice of applying paint, pigment, color or other medium to a solid surface (support base).",Painting,"Maintenance, Repair, and Installation",26292,Stable,Stable,7282.884,0.277
53,Plumbing,Plumbing is any system that conveys fluids for a wide range of applications.,Plumbing,"Maintenance, Repair, and Installation",24730,Stable,Stable,6850.210,0.277
54,Hand Tools,A hand tool is any tool that is powered by hand rather than a motor.,Hand Tools,"Maintenance, Repair, and Installation",24665,Stable,Stable,6832.205,0.277
55,Power Tools,A power tool is a tool that is actuated by an additional power source and mechanism other than the solely manual labour used with hand tools.,Power Tools,"Maintenance, Repair, and Installation",18683,Stable,Stable,5175.191,0.277
56,Electrical Work,Electrical work is the craft of an electrician,Basic Electrical Systems,"Maintenance, Repair, and Installation",18535,Stable,Stable,5134.195,0.277
57,Occupational Health and Safety,"Occupational safety and health (OSH), also commonly referred to as occupational health and safety (OHS), occupational health, or workplace health and safety (WHS), is a multidisciplinary field concerned with the safety, health, and welfare of people at work.",Occupational Health and Safety,Human Resources,16263,Growing,Growing,4504.851,0.277
58,Cleaning,"Cleaning is the process of removing unwanted substances, such as dirt, infectious agents, and other impurities, from an object or environment.",,,13945,Stable,Stable,3862.765,0.277
59,Scheduling,"A schedule or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place.",Scheduling,Administration,13390,Stable,Stable,3709.030,0.277
60,Forklift Operation,"A forklift (also called lift truck, fork truck, fork hoist, and forklift truck) is a powered industrial truck used to lift and move materials over short distances.",Material Handling,Supply Chain and Logistics,136301,Stable,Stable,26033.491,0.191
61,Customer Service,"Customer service is the provision of service to customers before, during and after a purchase.",Basic Customer Service,Customer and Client Support,74066,Stable,Stable,14146.606,0.191
62,Scheduling,"A schedule or a timetable, as a basic time-management tool, consists of a list of times at which possible tasks, events, or actions are intended to take place, or of a sequence of events in the chronological order in which such things are intended to take place.",Scheduling,Administration,72114,Stable,Stable,13773.774,0.191
63,Lifting Ability,"Requires Lifting Ability, which is the ability to raise and object to a higher position or level, or pick up and move an object to a different position.",Physical Abilities,Health Care,60071,Growing,Growing,11473.561,0.191
64,Cleaning,"Cleaning is the process of removing unwanted substances, such as dirt, infectious agents, and other impurities, from an object or environment.",,,55772,Stable,Stable,10652.452,0.191
65,Commercial Driving,No Definition.,Transportation Operations,Supply Chain and Logistics,52752,Stable,Stable,10075.632,0.191
66,Repair,"Restoration of a broken, damaged, or failed device, equipment, part, or property to an acceptable operating or usable condition or state.",,,42032,Stable,Stable,8028.112,0.191
67,HAZMAT,"Working with hazardous materials (HAZMAT)  — substances in quantities or forms that may pose a reasonable risk to health, property, or the environment. .",Hazardous Waste Management,Environment,34804,Stable,Stable,6647.564,0.191
68,Sorting,"Sorting is any process of arranging items systematically, and has two common, yet distinct meanings:ordering: arranging items in a sequence ordered by some criterion;categorizing: grouping items with similar properties.",General Administrative and Clerical Tasks,Administration,34289,Stable,Stable,6549.199,0.191
69,Basic Mathematics,"Mathematics is the study of topics such as quantity (numbers), structure, space, and change.",Basic Customer Service,Customer and Client Support,33421,Stable,Stable,6383.411,0.191
