SquareID,Row2,Column2,x_waffle,y_waffle,x_bar,y_bar,BarName,color_waffle_2002,color_waffle_2017,yearLabor,Crop_Labor,Color_LaborCost,Percent_LaborCost,color_fb_cropWorker2019,color_undoc_cropWorker2019,YearAge,AgeLabel,AVG_Age,statefip,axis_x,axis_y,state_abv,NumberH2Aworkers,PrimaryCrop,H2AworkersCrop,AcresRegion,AcresYear,VegAcres,CitrusAcres,NonCitrusAcres,TotalAcres,WageRegion,NameWage,Wage,indexWage,orderWage,Region_H2A_text,Region_H2A,fb_2010Age,usb_2010Age,fb_2020Age,usb_2020Age,fb_2010Work,usb_2010Work,fb_2019Work,usb_2019Work,H2A_2020,H2A_2010,H2A_Dif,H2A_Increase,PercentProduce,Produce1,Number1_Count,Produce2,Number2_Count,Produce3,Number3_Count
sq11,2,1,260,620,-100,-100,GoAway,#05CE7C,#05CE7C,2008,VegFarm,#05CE7C,0.212,#05CE7C,#05CE7C,0,Disappear,,Georgia,520,468,GA,26941,Blueberries,6982,California,2012,1175249,293387,1398666,2867302,California,H.S. Graduates,0.32353645,11,2,Mountain II Region,MountainII,40.51,36.58,43.21,34.03,2598,2880,2072,6147,7489,5310.0,2179,0.410,0.014,Onions,1304,Peaches,349,Kale,200
sq12,2,2,320,620,-100,-100,GoAway,#05CE7C,#05CE7C,2009,VegFarm,#05CE7C,0.213,#05CE7C,#05CE7C,0,Disappear,,Hawaii,100,521,HI,131,Bell Peppers,40,California,2017,1170573,312162,1353358,2836093,California,College Graduates,0.52012049,12,3,Mountain III Region,MountainIII,42.58,39.87,46.49,34.92,6971,2577,6688,3876,9801,5260.0,4541,0.863,0.025,Lettuce,1270,Watermelons,404,Romaine Lettuce,400
sq13,2,3,380,620,-100,-100,GoAway,#05CE7C,#05CE7C,2010,VegFarm,#05CE7C,0.225,#05CE7C,#05CE7C,0,Disappear,,Idaho,160,256,ID,1973,Potatoes,753,Cornbelt1,2007,153888,0,22340,176228,Cornbelt I,Crop Worker,0.570053476,13,1,Northeast I Region,NortheastI,35.05,36.03,37.18,38.15,3481,9278,3512,10094,11676,6197.0,5479,0.884,0.051,Apples,4340,Cabbage,441,Onions,341
sq14,2,4,440,620,-100,-100,GoAway,#05CE7C,#05CE7C,2011,VegFarm,#05CE7C,0.192,#05CE7C,#05CE7C,0,Disappear,,Illinois,400,256,IL,794,Sweet Corn,73,Cornbelt1,2012,145249,0,20756,166005,Cornbelt I,College Graduates,0.45864912,14,2,Northeast II Region,NortheastII,34.43,38.06,37.57,38.57,7151,8718,7195,9750,5877,1748.0,4129,2.362,0.030,Watermelons,617,Apples,332,Peaches,279
sq15,2,5,500,620,-100,-100,GoAway,#05CE7C,#05CE7C,2012,VegFarm,#05CE7C,0.19,#05CE7C,#05CE7C,0,Disappear,,Indiana,400,309,IN,1685,Watermelons,828,Cornbelt1,2017,136854,0,19443,156297,Cornbelt I,H.S. Graduates,0.49151563,15,3,Northern Plains Region,NorthernPlains,35.9,36.6,41.6,37.7,264099,162348,277877,209654,8151,2471.0,5680,2.299,0.015,Potatoes,133,Sweet Corn,100,Onions,41
sq16,2,6,560,620,-100,-100,GoAway,#05CE7C,#05CE7C,2013,VegFarm,#05CE7C,0.18,#05CE7C,#05CE7C,0,Disappear,,Iowa,340,309,IA,143,Beans,9,Cornbelt2,2007,42381,0,9521,51902,Cornbelt II,Crop Workers,0.594444444,16,1,Pacific Region,Pacific,35.67,35.33,40.96,34.32,34341,8750,38298,13204,29866,4328.0,25538,5.901,0.121,Cherries,5666,Apples,4900,Pears,2353
sq17,2,7,620,620,-100,-100,GoAway,#05CE7C,#05CE7C,2014,VegFarm,#05CE7C,0.213,#05CE7C,#05CE7C,0,Disappear,,Kansas,280,415,KS,128,Onions,24,Cornbelt2,2012,27937,0,3893,31830,Cornbelt II,H.S. Graduates,0.24151897,17,2,Southeast Region,Southeast,33.18,39.52,37.98,37.77,7654,8248,7324,10289,35332,7673.0,27659,3.605,0.029,Blueberries,7038,Watermelons,3098,Peaches,2048
sq18,2,8,680,620,-100,-100,GoAway,#05CE7C,#05CE7C,2015,VegFarm,#05CE7C,0.2,#05CE7C,#05CE7C,0,Disappear,,Kentucky,400,362,KY,714,Watermelons,70,Cornbelt2,2017,26191,0,4593,30784,Cornbelt II,College Graduates,0.22216506,18,3,Southern Plains Region,SouthernPlains,42.47,39.94,45.18,39.29,11178,12237,9607,12476,7452,2731.0,4721,1.729,0.020,Watermelons,413,Pumpkins,198,Melons,133
sq19,2,9,740,620,-100,-100,GoAway,#05CE7C,#05CE7C,2016,VegFarm,#05CE7C,0.216,#05CE7C,#05CE7C,0,Disappear,,Louisiana,340,468,LA,1786,Sweet Potatoes,1023,Delta,2007,64146,936,7297,72379,Delta,Crop Workers,0.557029178,19,1,United States,Nation,35.9,36.6,41.6,37.7,264099,162348,277877,209654,275407,93937.0,181470,1.932,7634595,Apples,13312,Blueberries,11858,Strawberries,10361
sq20,2,10,800,620,-100,-100,GoAway,#05CE7C,#05CE7C,2017,VegFarm,#05CE7C,0.215,#05CE7C,#05CE7C,0,Disappear,,Maine,700,150,ME,699,Apples,158,Delta,2012,53210,1208,8140,62558,Delta,H.S. Graduates,0.33064979,20,2,,,,,,,,,,,,,,,,,,,,,
sq21,3,1,260,560,260,565,College90,#05CE7C,#05CE7C,2018,VegFarm,#05CE7C,0.231,#05CE7C,#05CE7C,0,Disappear,,Maryland,580,362,MD,479,Apples,58,Delta,2017,60817,684,4624,66125,Delta,College Graduates,0.53975403,21,3,,,,,,,,,,,,,,,,,,,,,
sq22,3,2,320,560,310,565,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#05CE7C,0,Disappear,,Massachusetts,640,256,MA,322,Apples,74,Florida,2007,265835,654747,23595,944177,Florida,Crop Workers,0.382352941,22,1,,,,,,,,,,,,,,,,,,,,,
sq23,3,3,380,560,360,565,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#05CE7C,0,Disappear,,Michigan,460,256,MI,6414,Apples,864,Florida,2012,251011,539181,46685,836877,Florida,H.S. Graduates,0.39111698,23,2,,,,,,,,,,,,,,,,,,,,,
sq24,3,4,440,560,410,565,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#05CE7C,0,Disappear,,Minnesota,340,256,MN,455,Apples,32,Florida,2017,245375,474540,36665,756580,Florida,College Graduates,0.22993901,24,3,,,,,,,,,,,,,,,,,,,,,
sq25,3,5,500,560,460,565,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#05CE7C,0,Disappear,,Mississippi,400,468,MS,3715,Sweet Potatoes,1331,Hawaii,2007,8029,893,18067,26989,Hawaii,Crop Workers,0.483870968,25,1,,,,,,,,,,,,,,,,,,,,,
sq26,3,6,560,560,510,565,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#05CE7C,0,Disappear,,Missouri,340,362,MO,645,Watermelons,288,Hawaii,2012,9939,928,16841,27708,Hawaii,H.S. Graduates,0.33333333,26,2,,,,,,,,,,,,,,,,,,,,,
sq27,3,7,620,560,560,565,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#05CE7C,0,Disappear,,Montana,220,256,MT,68,Potatoes,41,Hawaii,2017,9597,891,19803,30291,Hawaii,College Graduates,0.37063865,27,3,,,,,,,,,,,,,,,,,,,,,
sq28,3,8,680,560,610,565,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#05CE7C,0,Disappear,,Nebraska,280,362,NE,437,Sweet Corn,100,LakeStates,2007,719022,0,173642,892664,Lake,Crop Workers,0.605177994,28,1,,,,,,,,,,,,,,,,,,,,,
sq29,3,9,740,560,660,565,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#05CE7C,0,Disappear,,Nevada,160,309,NV,2320,Onions,1270,LakeStates,2012,674830,0,171109,845939,Lake,H.S. Graduates,0.47736271,29,2,,,,,,,,,,,,,,,,,,,,,
sq30,3,10,800,560,710,565,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#05CE7C,0,Disappear,,New Hampshire,700,203,NH,182,Apples,43,LakeStates,2017,629188,0,158711,787899,Lake,College Graduates,0.27493317,30,3,,,,,,,,,,,,,,,,,,,,,
sq31,4,1,260,500,260,515,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#05CE7C,0,Disappear,,New Jersey,580,309,NJ,1720,Tomatoes,273,Mountain1,2007,389913,0,9387,399300,Mountain I,Crop Workers,0.61547763,31,1,,,,,,,,,,,,,,,,,,,,,
sq32,4,2,320,500,310,515,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,2007,AllAge,36.6,New Mexico,220,415,NM,201,Chilies,124,Mountain1,2012,379708,0,7904,387612,Mountain I,H.S. Graduates,0.62949149,32,2,,,,,,,,,,,,,,,,,,,,,
sq33,4,3,380,500,360,515,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,2010,AllAge,36.4,New York,580,256,NY,7340,Apples,3792,Mountain1,2017,366647,0,7256,373903,Mountain I,College Graduates,0.52298679,33,3,,,,,,,,,,,,,,,,,,,,,
sq34,4,4,440,500,410,515,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,2013,AllAge,35.9,North Carolina,460,415,NC,10267,Sweet Potatoes,2688,Mountain2,2007,114388,0,14915,129303,Mountain II,Crop Workers,0.760545906,34,1,,,,,,,,,,,,,,,,,,,,,
sq35,4,5,500,500,460,515,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,2016,AllAge,35.5,North Dakota,280,256,ND,85,Potatoes,37,Mountain2,2012,102427,0,14887,117314,Mountain II,H.S. Graduates,0.51271489,35,2,,,,,,,,,,,,,,,,,,,,,
sq36,4,6,560,500,510,515,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,2019,AllAge,36.7,Ohio,460,309,OH,1710,Tomatoes,239,Mountain2,2017,89180,0,14956,104136,Mountain II,College Graduates,0.5233496,36,3,,,,,,,,,,,,,,,,,,,,,
sq37,4,7,620,500,560,515,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,0,Disappear,,Oklahoma,280,468,OK,91,Pecans,20,Mountain3,2007,174507,18261,5108,197876,Mountain III,Crop Workers,0.619607843,37,1,,,,,,,,,,,,,,,,,,,,,
sq38,4,8,680,500,610,515,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,0,Disappear,,Oregon,100,309,OR,2277,Pears,497,Mountain3,2012,158507,17830,11096,187433,Mountain III,H.S. Graduates,0.36191477,38,2,,,,,,,,,,,,,,,,,,,,,
sq39,4,9,740,500,660,515,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,0,Disappear,,Pennsylvania,520,309,PA,1345,Apples,268,Mountain3,2017,172977,10031,11432,194440,Mountain III,College Graduates,0.28721236,39,3,,,,,,,,,,,,,,,,,,,,,
sq40,4,10,800,500,710,515,College90,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,0,Disappear,,Rhode Island,700,309,RI,5,Apples,3,Northeast1,2007,262410,1,81773,344184,Northeast I,Crop Workers,0.604600219,40,1,,,,,,,,,,,,,,,,,,,,,
sq41,5,1,260,440,260,440,CollegeGrad,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,0,Disappear,,South Carolina,520,415,SC,5877,Peaches,1331,Northeast1,2012,245983,1,74117,320101,Northeast I,H.S. Graduates,0.38151709,41,2,,,,,,,,,,,,,,,,,,,,,
sq42,5,2,320,440,310,440,CollegeGrad,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,0,Disappear,,South Dakota,280,309,SD,4,Beans,1,Northeast1,2017,224747,1,72814,297562,Northeast I,College Graduates,0.50551669,42,3,,,,,,,,,,,,,,,,,,,,,
sq43,5,3,380,440,360,440,CollegeGrad,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,0,Disappear,,Tennessee,400,415,TN,1827,Tomatoes,639,Northeast2,2007,183252,0,182012,365264,Northeast II,Crop Workers,0.497767857,43,1,,,,,,,,,,,,,,,,,,,,,
sq44,5,4,440,440,410,440,CollegeGrad,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,0,Disappear,,Texas,280,521,TX,1521,Watermelons,413,Northeast2,2012,169661,0,168734,338395,Northeast II,H.S. Graduates,0.36280912,44,2,,,,,,,,,,,,,,,,,,,,,
sq45,5,5,500,440,460,440,CollegeGrad,#05CE7C,#05CE7C,0,BackStage,#FFFFFF,0,#05CE7C,#b1ecc6,0,Disappear,,Utah,160,362,UT,415,Apples,72,Northeast2,2017,158750,0,166665,325415,Northeast II,College Graduates,0.33705987,45,3,,,,,,,,,,,,,,,,,,,,,
sq46,5,6,560,440,510,440,CollegeGrad,#05CE7C,#05CE7C,1998,FruitFarm,#6B7CF2,0.298,#05CE7C,#b1ecc6,0,Disappear,,Vermont,640,203,VT,416,Apples,196,NorthernPlains,2007,128931,0,2308,131239,Northern Plains,Crop Workers,0.761388286,46,1,,,,,,,,,,,,,,,,,,,,,
sq47,5,7,620,440,560,440,CollegeGrad,#05CE7C,#05CE7C,1999,FruitFarm,#6B7CF2,0.307,#05CE7C,#b1ecc6,0,Disappear,,Virginia,520,362,VA,1980,Vineyards,102,NorthernPlains,2012,122745,6,2954,125705,Northern Plains,H.S. Graduates,0.54571321,47,2,,,,,,,,,,,,,,,,,,,,,
sq48,5,8,680,440,610,440,CollegeGrad,#05CE7C,#05CE7C,2000,FruitFarm,#6B7CF2,0.31,#05CE7C,#b1ecc6,0,Disappear,,Washington,100,256,WA,29235,Cherries,5541,NorthernPlains,2017,109483,0,3472,112955,Northern Plains,College Graduates,0.56000924,48,3,,,,,,,,,,,,,,,,,,,,,
sq49,5,9,740,440,-100,-100,GoAway,#05CE7C,#05CE7C,2001,FruitFarm,#6B7CF2,0.323,#05CE7C,#b1ecc6,0,Disappear,,West Virginia,460,362,WV,247,Apples,54,Pacific,2007,493452,0,407574,901026,Pacific,Crop Workers,0.799773756,49,1,,,,,,,,,,,,,,,,,,,,,
sq50,5,10,800,440,-100,-100,GoAway,#05CE7C,#05CE7C,2002,FruitFarm,#6B7CF2,0.315,#05CE7C,#b1ecc6,0,Disappear,,Wisconsin,400,203,WI,902,Cabbage,154,Pacific,2012,500554,72,423068,923694,Pacific,H.S. Graduates,0.38335103,50,2,,,,,,,,,,,,,,,,,,,,,
sq51,6,1,260,380,260,390,CollegeGrad,#05CE7C,#05CE7C,2003,FruitFarm,#6B7CF2,0.307,#05CE7C,#b1ecc6,0,Disappear,,Wyoming,220,309,WY,63,Mushrooms,22,Pacific,2017,479661,0,445107,924768,Pacific,College Graduates,0.70585083,51,3,,,,,,,,,,,,,,,,,,,,,
sq52,6,2,320,380,310,390,CollegeGrad,#05CE7C,#05CE7C,2004,FruitFarm,#6B7CF2,0.3,#05CE7C,#b1ecc6,0,Disappear,,NoState,,,,,,,Southeast,2007,175863,121,48250,224234,Southeast,Crop Workers,0.406698565,52,1,,,,,,,,,,,,,,,,,,,,,
sq53,6,3,380,380,360,390,CollegeGrad,#05CE7C,#6B7CF2,2005,FruitFarm,#6B7CF2,0.296,#05CE7C,#b1ecc6,0,Disappear,,NoState,,,,,,,Southeast,2012,144522,260,53448,198230,Southeast,H.S. Graduates,0.40148727,53,2,,,,,,,,,,,,,,,,,,,,,
sq54,6,4,440,380,410,390,CollegeGrad,#05CE7C,#6B7CF2,2006,FruitFarm,#6B7CF2,0.304,#05CE7C,#b1ecc6,0,Disappear,,NoState,,,,,,,Southeast,2017,158671,440,64912,224023,Southeast,College Graduates,0.38918879,54,3,,,,,,,,,,,,,,,,,,,,,
sq55,6,5,500,380,460,390,CollegeGrad,#05CE7C,#6B7CF2,2007,FruitFarm,#6B7CF2,0.306,#05CE7C,#b1ecc6,0,Disappear,,NoState,,,,,,,SouthernPlains,2007,146121,27701,16375,190197,Southern Plains,Crop Workers,0.553030303,55,1,,,,,,,,,,,,,,,,,,,,,
sq56,6,6,560,380,510,390,CollegeGrad,#05CE7C,#6B7CF2,2008,FruitFarm,#6B7CF2,0.304,#05CE7C,#b1ecc6,0,Disappear,,NoState,,,,,,,SouthernPlains,2012,140581,24778,18211,183570,Southern Plains,H.S. Graduates,0.46276129,56,2,,,,,,,,,,,,,,,,,,,,,
sq57,6,7,620,380,560,390,CollegeGrad,#6B7CF2,#6B7CF2,2009,FruitFarm,#6B7CF2,0.304,#05CE7C,#b1ecc6,0,Disappear,,NoState,,,,,,,SouthernPlains,2017,109063,26188,16448,151699,Southern Plains,College Graduates,0.43860392,57,3,,,,,,,,,,,,,,,,,,,,,
sq58,6,8,680,380,610,390,CollegeGrad,#6B7CF2,#6B7CF2,2010,FruitFarm,#6B7CF2,0.304,#3A3745,#3A3745,2007,USBornAge,36.2,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq59,6,9,740,380,-100,-100,GoAway,#6B7CF2,#6B7CF2,2011,FruitFarm,#6B7CF2,0.296,#3A3745,#3A3745,2010,USBornAge,36.8,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq60,6,10,800,380,-100,-100,GoAway,#6B7CF2,#6B7CF2,2012,FruitFarm,#6B7CF2,0.276,#3A3745,#3A3745,2013,USBornAge,37.4,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq61,7,1,260,320,260,315,HighSchool,#6B7CF2,#6B7CF2,2013,FruitFarm,#6B7CF2,0.254,#3A3745,#3A3745,2016,USBornAge,38.3,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq62,7,2,320,320,310,315,HighSchool,#6B7CF2,#6B7CF2,2014,FruitFarm,#6B7CF2,0.243,#3A3745,#3A3745,2019,USBornAge,39.5,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq63,7,3,380,320,360,315,HighSchool,#6B7CF2,#6B7CF2,2015,FruitFarm,#6B7CF2,0.241,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq64,7,4,440,320,410,315,HighSchool,#6B7CF2,#6B7CF2,2016,FruitFarm,#6B7CF2,0.241,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq65,7,5,500,320,460,315,HighSchool,#6B7CF2,#6B7CF2,2017,FruitFarm,#6B7CF2,0.265,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq66,7,6,560,320,510,315,HighSchool,#6B7CF2,#6B7CF2,2018,FruitFarm,#6B7CF2,0.277,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq67,7,7,620,320,760,190,CropWorker,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq68,7,8,680,320,810,190,CropWorker,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq69,7,9,740,320,860,190,CropWorker,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq70,7,10,800,320,910,190,CropWorker,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq71,8,1,260,260,260,265,HighSchool,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq72,8,2,320,260,310,265,HighSchool,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq73,8,3,380,260,360,265,HighSchool,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq74,8,4,440,260,410,265,HighSchool,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq75,8,5,500,260,460,265,HighSchool,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq76,8,6,560,260,510,265,HighSchool,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq77,8,7,620,260,760,140,CropWorker,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq78,8,8,680,260,810,140,CropWorker,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
