GEO_ID_long,GEO_ID,STATEFIP,COUNTYFIP,CountyNAME,TotalPopulation_2010,Hispanic_2010,NonHispanic_2010,PopulationofOneRace_2010,Whitealone_2010,Blackalon_2010,AIANalone_2010,Asianalone_2010,NativeHawaiianPIalone_2010,SomeOtherRace_2010,Mixed_2010,DiversityIndex2010,GEOID,NAME,TotalPopulation_2020,Hispanic_2020,NonHispanic_2020,PopulationofOneRace_2020,Whitealone_2020,Blackalon_2020,AIANalone_2020,Asianalone_2020,NativeHawaiianPIalone_2020,SomeOtherRace_2020,Mixed_2020,DiversityIndex2020,ChangeDiversityIndex,RateChangeDiversityIndex,ChangeDiversityIndexPercent,RateChangeDiversityIndexPercent
0500000US01045,01045,1,45,"Dale County, Alabama",50251,2821,47430,46223,35705,9546,337,527,42,66,1207,0.455,0500000US01045,Dale County,49326,3254,46072,43773,32602,10100,217,648,42,164,2299,0.514,0.059,0.130,5.9%,13.0%
0500000US01047,01047,1,47,"Dallas County, Alabama",43820,309,43511,43233,12676,30314,78,144,6,15,278,0.438,0500000US01047,Dallas County,38462,296,38166,37426,10363,26812,56,145,12,38,740,0.441,0.003,0.008,0.3%,0.8%
0500000US01049,01049,1,49,"DeKalb County, Alabama",71109,9690,61419,60133,57997,1029,865,166,35,41,1286,0.316,0500000US01049,DeKalb County,71608,11744,59864,56602,54529,1019,715,237,16,86,3262,0.391,0.075,0.239,7.5%,23.9%
0500000US01051,01051,1,51,"Elmore County, Alabama",79303,2129,77174,76170,59449,15814,269,514,50,74,1004,0.397,0500000US01051,Elmore County,87977,2793,85184,81908,62540,18126,270,669,28,275,3276,0.450,0.052,0.132,5.2%,13.2%
0500000US01053,01053,1,53,"Escambia County, Alabama",38319,718,37601,37062,23508,12162,1274,86,12,20,539,0.521,0500000US01053,Escambia County,36757,751,36006,34593,22004,10922,1488,108,22,49,1413,0.550,0.029,0.055,2.9%,5.5%
0500000US01055,01055,1,55,"Etowah County, Alabama",104430,3447,100983,99651,82789,15716,372,657,30,87,1332,0.348,0500000US01055,Etowah County,103436,4895,98541,94282,77731,14999,332,921,39,260,4259,0.410,0.063,0.180,6.3%,18.0%
0500000US01057,01057,1,57,"Fayette County, Alabama",17241,204,17037,16885,14832,1958,47,37,0,11,152,0.247,0500000US01057,Fayette County,16321,396,15925,15394,13552,1720,43,49,1,29,531,0.298,0.051,0.206,5.1%,20.6%
0500000US01059,01059,1,59,"Franklin County, Alabama",31704,4710,26994,26666,25249,1211,121,51,2,32,328,0.342,0500000US01059,Franklin County,32113,6259,25854,24994,23581,1139,128,67,2,77,860,0.421,0.079,0.230,7.9%,23.0%
0500000US01061,01061,1,61,"Geneva County, Alabama",26790,920,25870,25499,22692,2523,197,64,8,15,371,0.272,0500000US01061,Geneva County,26659,1296,25363,24216,21654,2231,166,86,7,72,1147,0.329,0.057,0.208,5.7%,20.8%
0500000US01063,01063,1,63,"Greene County, Alabama",9045,69,8976,8937,1562,7349,11,15,0,0,39,0.310,0500000US01063,Greene County,7730,61,7669,7535,1285,6227,5,7,0,11,134,0.323,0.013,0.042,1.3%,4.2%
0500000US01065,01065,1,65,"Hale County, Alabama",15760,140,15620,15544,6213,9265,23,35,1,7,76,0.499,0500000US01065,Hale County,14785,149,14636,14365,5972,8313,34,18,5,23,271,0.520,0.021,0.043,2.1%,4.3%
0500000US01067,01067,1,67,"Henry County, Alabama",17302,389,16913,16752,11731,4915,54,45,2,5,161,0.459,0500000US01067,Henry County,17146,334,16812,16246,11842,4232,50,73,0,49,566,0.461,0.002,0.003,0.2%,0.3%
0500000US01069,01069,1,69,"Houston County, Alabama",101547,2995,98552,97107,69731,26038,393,806,43,96,1445,0.462,0500000US01069,Houston County,107202,4481,102721,98477,68251,28232,321,1260,59,354,4244,0.522,0.060,0.131,6.0%,13.1%
0500000US01071,01071,1,71,"Jackson County, Alabama",53227,1339,51888,50606,47937,1771,680,165,29,24,1282,0.186,0500000US01071,Jackson County,52579,1681,50898,47752,45123,1624,680,214,2,109,3146,0.258,0.071,0.383,7.1%,38.3%
0500000US01073,01073,1,73,"Jefferson County, Alabama",658466,25488,632978,626925,340213,275511,1431,9085,154,531,6053,0.556,0500000US01073,Jefferson County,674721,34856,639865,620891,324252,280112,1207,13043,311,1966,18974,0.593,0.037,0.066,3.7%,6.6%
0500000US01075,01075,1,75,"Lamar County, Alabama",14564,180,14384,14210,12542,1635,24,4,1,4,174,0.245,0500000US01075,Lamar County,13972,208,13764,13404,11924,1421,28,6,3,22,360,0.260,0.015,0.061,1.5%,6.1%
0500000US01077,01077,1,77,"Lauderdale County, Alabama",92709,2082,90627,89479,79228,9190,323,675,23,40,1148,0.259,0500000US01077,Lauderdale County,93564,3078,90486,86933,76491,9164,295,748,31,204,3553,0.319,0.060,0.233,6.0%,23.3%
0500000US01079,01079,1,79,"Lawrence County, Alabama",34339,574,33765,32336,26420,3917,1928,41,5,25,1429,0.390,0500000US01079,Lawrence County,33073,895,32178,29616,24714,3302,1440,84,7,69,2562,0.423,0.033,0.085,3.3%,8.5%
0500000US01081,01081,1,81,"Lee County, Alabama",140247,4571,135676,133816,97900,31674,397,3615,66,164,1860,0.460,0500000US01081,Lee County,174241,9135,165106,158526,109795,39252,365,8544,108,462,6580,0.546,0.086,0.187,8.6%,18.7%
0500000US01083,01083,1,83,"Limestone County, Alabama",82782,4591,78191,76969,65112,10350,487,911,26,83,1222,0.362,0500000US01083,Limestone County,103570,7248,96322,91573,75692,13177,458,1857,70,319,4749,0.442,0.080,0.221,8.0%,22.1%
0500000US01085,01085,1,85,"Lowndes County, Alabama",11299,87,11212,11167,2841,8283,25,14,0,4,45,0.399,0500000US01085,Lowndes County,10311,140,10171,9985,2807,7149,9,15,0,5,186,0.445,0.045,0.114,4.5%,11.4%
0500000US01087,01087,1,87,"Macon County, Alabama",21452,232,21220,21016,3267,17631,28,76,2,12,204,0.301,0500000US01087,Macon County,19532,361,19171,18753,3187,15395,48,74,4,45,418,0.351,0.050,0.167,5.0%,16.7%
0500000US01089,01089,1,89,"Madison County, Alabama",334811,15404,319407,312256,221445,79517,2335,8167,321,471,7151,0.503,0500000US01089,Madison County,388153,24936,363217,343039,237497,91079,2132,10179,450,1702,20178,0.563,0.060,0.119,6.0%,11.9%
0500000US01091,01091,1,91,"Marengo County, Alabama",21027,352,20675,20539,9607,10838,31,53,9,1,136,0.525,0500000US01091,Marengo County,19323,368,18955,18610,8375,10133,6,54,1,41,345,0.536,0.011,0.021,1.1%,2.1%
0500000US01093,01093,1,93,"Marion County, Alabama",30776,632,30144,29865,28509,1178,94,53,7,24,279,0.140,0500000US01093,Marion County,29341,863,28478,27401,26093,1094,82,75,14,43,1077,0.206,0.066,0.469,6.6%,46.9%
0500000US01095,01095,1,95,"Marshall County, Alabama",93019,11238,81781,80620,78060,1389,570,475,63,63,1161,0.281,0500000US01095,Marshall County,97612,15658,81954,78283,74666,2293,418,579,128,199,3671,0.387,0.106,0.379,10.6%,37.9%
0500000US01097,01097,1,97,"Mobile County, Alabama",412992,9936,403056,397809,243904,142272,3541,7507,157,428,5247,0.531,0500000US01097,Mobile County,414809,13425,401384,385914,226703,145435,3743,8515,216,1302,15470,0.575,0.044,0.083,4.4%,8.3%
0500000US01099,01099,1,99,"Monroe County, Alabama",23068,220,22848,22537,12621,9581,256,67,4,8,311,0.528,0500000US01099,Monroe County,19772,207,19565,19000,10334,8253,281,88,0,44,565,0.551,0.024,0.045,2.4%,4.5%
0500000US01101,01101,1,101,"Montgomery County, Alabama",229363,8314,221049,218610,88099,124928,520,4792,84,187,2439,0.554,0500000US01101,Montgomery County,228954,10684,218270,212312,73354,129801,364,7952,119,722,5958,0.572,0.018,0.032,1.8%,3.2%
0500000US01103,01103,1,103,"Morgan County, Alabama",119490,9156,110334,108386,92585,14059,928,665,69,80,1948,0.380,0500000US01103,Morgan County,123421,12377,111044,105460,88238,15307,631,829,79,376,5584,0.461,0.082,0.215,8.2%,21.5%
0500000US01105,01105,1,105,"Perry County, Alabama",10591,114,10477,10442,3142,7244,17,30,5,4,35,0.444,0500000US01105,Perry County,8511,89,8422,8285,2345,5914,15,10,1,0,137,0.441,-0.003,-0.007,-0.3%,-0.7%
0500000US01107,01107,1,107,"Pickens County, Alabama",19746,313,19433,19275,11027,8169,28,32,1,18,158,0.517,0500000US01107,Pickens County,19123,1053,18070,17627,10066,7448,23,78,0,12,443,0.568,0.051,0.099,5.1%,9.9%
0500000US01109,01109,1,109,"Pike County, Alabama",32899,730,32169,31727,18887,11990,185,645,6,14,442,0.537,0500000US01109,Pike County,33009,905,32104,30976,18036,12068,169,577,9,117,1128,0.566,0.029,0.054,2.9%,5.4%
0500000US01111,01111,1,111,"Randolph County, Alabama",22913,649,22264,22035,17280,4604,84,54,5,8,229,0.390,0500000US01111,Randolph County,21967,605,21362,20631,16629,3814,50,86,1,51,731,0.395,0.005,0.013,0.5%,1.3%
0500000US01113,01113,1,113,"Russell County, Alabama",52947,1946,51001,50096,27591,21926,189,223,112,55,905,0.555,0500000US01113,Russell County,59183,3195,55988,53559,26679,25930,180,408,128,234,2429,0.600,0.045,0.081,4.5%,8.1%
0500000US01115,01115,1,115,"St. Clair County, Alabama",83593,1716,81877,80914,72947,7098,252,512,41,64,963,0.231,0500000US01115,St. Clair County,91103,2575,88528,84737,74962,8617,249,655,20,234,3791,0.311,0.081,0.350,8.1%,35.0%
0500000US01117,01117,1,117,"Shelby County, Alabama",195085,11567,183518,181446,156371,20606,458,3699,62,250,2072,0.342,0500000US01117,Shelby County,223024,16460,206564,197904,162712,28711,478,5114,91,798,8660,0.444,0.101,0.296,10.1%,29.6%
0500000US01119,01119,1,119,"Sumter County, Alabama",13763,86,13677,13632,3304,10283,11,33,1,0,45,0.384,0500000US01119,Sumter County,12345,131,12214,12032,2937,8955,26,102,3,9,182,0.417,0.033,0.085,3.3%,8.5%
0500000US01121,01121,1,121,"Talladega County, Alabama",82291,1671,80620,79657,53079,25953,230,329,6,60,963,0.484,0500000US01121,Talladega County,82149,1779,80370,77884,50732,26340,184,395,27,206,2486,0.514,0.030,0.063,3.0%,6.3%
0500000US01123,01123,1,123,"Tallapoosa County, Alabama",41616,1042,40574,40228,28838,11050,119,197,2,22,346,0.449,0500000US01123,Tallapoosa County,41311,1144,40167,39015,28252,10366,84,222,0,91,1152,0.468,0.019,0.043,1.9%,4.3%
0500000US01125,01125,1,125,"Tuscaloosa County, Alabama",194656,5949,188707,186972,126611,57401,455,2293,76,136,1735,0.489,0500000US01125,Tuscaloosa County,227036,12298,214738,208206,134880,68779,420,3241,94,792,6532,0.551,0.062,0.128,6.2%,12.8%
0500000US01127,01127,1,127,"Walker County, Alabama",67023,1307,65716,64957,60587,3885,233,190,26,36,759,0.179,0500000US01127,Walker County,65342,2152,63190,60891,56394,3889,187,283,2,136,2299,0.249,0.070,0.393,7.0%,39.3%
0500000US01129,01129,1,129,"Washington County, Alabama",17581,151,17430,17244,11455,4360,1394,18,9,8,186,0.507,0500000US01129,Washington County,15388,138,15250,14726,10267,3318,1102,14,2,23,524,0.502,-0.006,-0.011,-0.6%,-1.1%
0500000US01131,01131,1,131,"Wilcox County, Alabama",11670,72,11598,11551,3110,8420,14,4,1,2,47,0.408,0500000US01131,Wilcox County,10600,112,10488,10330,2866,7425,11,7,5,16,158,0.436,0.028,0.067,2.8%,6.7%
0500000US01133,01133,1,133,"Winston County, Alabama",24484,639,23845,23562,23237,115,139,59,8,4,283,0.098,0500000US01133,Winston County,23540,815,22725,21918,21598,131,83,58,9,39,807,0.156,0.057,0.583,5.7%,58.3%
0500000US02013,02013,2,13,"Aleutians East Borough, Alaska",3141,385,2756,2639,425,212,869,1113,19,1,117,0.759,0500000US02013,Aleutians East Borough,3420,674,2746,2566,658,297,797,771,32,11,180,0.809,0.050,0.066,5.0%,6.6%
0500000US02016,02016,2,16,"Aleutians West Census Area, Alaska",5561,726,4835,4586,1745,318,841,1575,102,5,249,0.776,0500000US02016,Aleutians West Census Area,5232,668,4564,4301,1585,257,709,1502,238,10,263,0.784,0.008,0.011,0.8%,1.1%
0500000US02020,02020,2,20,"Anchorage Municipality, Alaska",291826,22061,269765,249715,182814,15308,22047,23208,5776,562,20050,0.582,0500000US02020,Anchorage Municipality,291247,26438,264809,233536,158232,13777,22480,27281,9844,1922,31273,0.667,0.085,0.146,8.5%,14.6%
0500000US02050,02050,2,50,"Bethel Census Area, Alaska",17013,181,16832,16157,1854,65,14056,158,18,6,675,0.304,0500000US02050,Bethel Census Area,18666,207,18459,17514,1628,84,15580,201,2,19,945,0.293,-0.011,-0.036,-1.1%,-3.6%
0500000US02060,02060,2,60,"Bristol Bay Borough, Alaska",997,24,973,817,476,0,330,8,3,0,156,0.637,0500000US02060,Bristol Bay Borough,844,45,799,669,357,6,296,5,3,2,130,0.671,0.034,0.053,3.4%,5.3%
0500000US02068,02068,2,68,"Denali Borough, Alaska",1826,42,1784,1713,1614,10,64,19,1,5,71,0.215,0500000US02068,Denali Borough,1619,32,1587,1466,1378,9,59,13,3,4,121,0.268,0.053,0.245,5.3%,24.5%
0500000US02070,02070,2,70,"Dillingham Census Area, Alaska",4847,101,4746,4336,855,11,3431,32,6,1,410,0.460,0500000US02070,Dillingham Census Area,4857,146,4711,4262,770,19,3412,45,9,7,449,0.472,0.012,0.025,1.2%,2.5%
0500000US02090,02090,2,90,"Fairbanks North Star Borough, Alaska",97581,5651,91930,86160,72259,4154,6669,2512,375,191,5770,0.438,0500000US02090,Fairbanks North Star Borough,95655,7320,88335,78708,63178,3804,7299,3031,584,812,9627,0.539,0.102,0.232,10.2%,23.2%
0500000US02100,02100,2,100,"Haines Borough, Alaska",2508,47,2461,2324,2062,9,227,13,0,13,137,0.312,0500000US02100,Haines Borough,2080,67,2013,1809,1577,2,205,14,2,9,204,0.405,0.092,0.295,9.2%,29.5%
0500000US02105,02105,2,105,"Hoonah-Angoon Census Area, Alaska",2150,77,2073,1864,993,8,850,12,1,0,209,0.620,0500000US02105,Hoonah-Angoon Census Area,2365,120,2245,2005,1123,6,841,15,4,16,240,0.635,0.015,0.025,1.5%,2.5%
0500000US02110,02110,2,110,"Juneau City and Borough, Alaska",31275,1588,29687,26990,21065,259,3534,1879,213,40,2697,0.520,0500000US02110,Juneau City and Borough,32255,2077,30178,26136,19673,328,3397,2086,469,183,4042,0.593,0.073,0.140,7.3%,14.0%
0500000US02122,02122,2,122,"Kenai Peninsula Borough, Alaska",55400,1641,53759,50901,45879,248,3970,614,111,79,2858,0.305,0500000US02122,Kenai Peninsula Borough,58799,2328,56471,51352,45546,361,4107,793,173,372,5119,0.386,0.080,0.263,8.0%,26.3%
0500000US02130,02130,2,130,"Ketchikan Gateway Borough, Alaska",13477,538,12939,11799,8918,76,1831,936,24,14,1140,0.530,0500000US02130,Ketchikan Gateway Borough,13948,650,13298,11822,8221,100,2264,1118,26,93,1476,0.606,0.076,0.144,7.6%,14.4%
0500000US02150,02150,2,150,"Kodiak Island Borough, Alaska",13592,996,12596,11701,7137,85,1759,2620,86,14,895,0.661,0500000US02150,Kodiak Island Borough,13101,1024,12077,11097,6291,85,1759,2781,107,74,980,0.694,0.034,0.051,3.4%,5.1%
0500000US02158,02158,2,158,Kusilvak (Wade Hampton) Census Area,7459,7,7452,7302,199,1,7082,17,0,3,150,0.097,0500000US02158,Kusilvak (Wade Hampton) Census Area,8368,14,8354,8172,173,16,7946,23,0,14,182,0.097,0.000,0.000,0.0%,0.0%
0500000US02164,02164,2,164,"Lake and Peninsula Borough, Alaska",1631,43,1588,1426,362,9,1044,6,5,0,162,0.530,0500000US02164,Lake and Peninsula Borough,1476,34,1442,1298,297,1,993,7,0,0,144,0.497,-0.034,-0.063,-3.4%,-6.3%
0500000US02170,02170,2,170,"Matanuska-Susitna Borough, Alaska",88995,3301,85694,80638,73676,817,4735,1075,214,121,5056,0.307,0500000US02170,Matanuska-Susitna Borough,107081,5244,101837,91416,81050,1059,6531,1515,476,785,10421,0.411,0.104,0.339,10.4%,33.9%
0500000US02180,02180,2,180,"Nome Census Area, Alaska",9492,115,9377,8818,1511,27,7175,88,9,8,559,0.400,0500000US02180,Nome Census Area,10046,186,9860,9092,1393,52,7508,109,5,25,768,0.416,0.016,0.041,1.6%,4.1%
0500000US02185,02185,2,185,"North Slope Borough, Alaska",9430,249,9181,8720,3059,91,5046,414,103,7,461,0.603,0500000US02185,North Slope Borough,11031,548,10483,9790,2964,159,5680,636,321,30,693,0.652,0.049,0.081,4.9%,8.1%
0500000US02188,02188,2,188,"Northwest Arctic Borough, Alaska",7523,58,7465,7024,830,35,6102,42,12,3,441,0.326,0500000US02188,Northwest Arctic Borough,7793,102,7691,7272,684,71,6453,53,11,0,419,0.303,-0.023,-0.070,-2.3%,-7.0%
0500000US02195,02195,2,195,"Petersburg Census Area, Alaska",3815,130,3685,3382,2649,15,603,96,6,13,303,0.485,0500000US02195,Petersburg Borough,3398,164,3234,2871,2444,46,231,117,12,21,363,0.463,-0.022,-0.045,-2.2%,-4.5%
0500000US02198,02198,2,198,"Prince of Wales-Hyder Census Area, Alaska",5559,127,5432,4984,2756,17,2165,21,21,4,448,0.595,0500000US02198,Prince of Wales-Hyder Census Area,5753,160,5593,4989,2368,21,2529,25,30,16,604,0.625,0.030,0.050,3.0%,5.0%
0500000US02220,02220,2,220,"Sitka City and Borough, Alaska",8881,437,8444,7675,5641,43,1442,509,29,11,769,0.557,0500000US02220,Sitka City and Borough,8458,501,7957,6933,5050,37,1206,573,14,53,1024,0.600,0.043,0.078,4.3%,7.8%
0500000US02230,02230,2,230,"Skagway Municipality, Alaska",968,21,947,912,872,0,34,5,1,0,35,0.185,0500000US02230,Skagway Municipality,1240,41,1199,1130,1056,6,23,39,0,6,69,0.269,0.084,0.451,8.4%,45.1%
0500000US02240,02240,2,240,"Southeast Fairbanks Census Area, Alaska",7029,234,6795,6484,5535,71,797,64,11,6,311,0.364,0500000US02240,Southeast Fairbanks Census Area,6808,376,6432,5979,4993,68,795,87,13,23,453,0.441,0.077,0.211,7.7%,21.1%
0500000US02261,02261,2,261,"Valdez-Cordova Census Area, Alaska",9636,349,9287,8669,6949,45,1270,350,54,1,618,0.456,0500000US02261,"Valdez-Cordova Census Area, Alaska",9719,481,9238,8369,6359,52,1302,544,71,41,869,0.540,0.085,0.185,8.5%,18.5%
0500000US02275,02275,2,275,"Wrangell City and Borough, Alaska",2369,37,2332,2118,1699,4,381,32,1,1,214,0.451,0500000US02275,Wrangell City and Borough,2127,76,2051,1747,1341,0,368,25,2,11,304,0.551,0.100,0.221,10.0%,22.1%
0500000US02282,02282,2,282,"Yakutat City and Borough, Alaska",662,17,645,544,268,2,235,27,12,0,101,0.684,0500000US02282,Yakutat City and Borough,662,29,633,533,248,2,250,32,1,0,100,0.690,0.006,0.008,0.6%,0.8%
0500000US02290,02290,2,290,"Yukon-Koyukuk Census Area, Alaska",5588,66,5522,5216,1218,9,3967,14,6,2,306,0.445,0500000US02290,Yukon-Koyukuk Census Area,5343,72,5271,4972,1121,6,3818,8,3,16,299,0.442,-0.003,-0.007,-0.3%,-0.7%
0500000US04001,04001,4,1,"Apache County, Arizona",71518,4113,67405,66321,14568,157,51360,185,24,27,1084,0.439,0500000US04001,Apache County,66021,3861,62160,60924,13791,184,46509,307,18,115,1236,0.456,0.017,0.039,1.7%,3.9%
0500000US04003,04003,4,3,"Cochise County, Arizona",131346,42543,88803,85742,76805,4936,989,2410,379,223,3061,0.551,0500000US04003,Cochise County,125447,42615,82832,77122,68256,4371,762,2587,421,725,5710,0.585,0.034,0.062,3.4%,6.2%
0500000US04005,04005,4,5,"Coconino County, Arizona",134421,18166,116255,113453,74231,1495,35610,1787,138,192,2802,0.606,0500000US04005,Coconino County,145101,21719,123382,117276,76904,1777,35143,2582,254,616,6106,0.636,0.030,0.049,3.0%,4.9%
0500000US04007,04007,4,7,"Gila County, Arizona",53597,9588,44009,43436,35298,195,7615,256,34,38,573,0.514,0500000US04007,Gila County,53272,9283,43989,42326,32757,239,8655,427,45,203,1663,0.564,0.050,0.098,5.0%,9.8%
0500000US04009,04009,4,9,"Graham County, Arizona",37220,11320,25900,25465,19483,633,5074,193,49,33,435,0.614,0500000US04009,Graham County,38533,11428,27105,26281,20398,453,5143,169,16,102,824,0.613,-0.001,-0.002,-0.1%,-0.2%
0500000US04011,04011,4,11,"Greenlee County, Arizona",8437,4040,4397,4327,4054,79,142,44,5,3,70,0.539,0500000US04011,Greenlee County,9563,4376,5187,4904,4446,80,275,68,1,34,283,0.573,0.033,0.062,3.3%,6.2%
0500000US04012,04012,4,12,"La Paz County, Arizona",20489,4806,15683,15276,12854,115,2201,90,5,11,407,0.539,0500000US04012,La Paz County,16557,4197,12360,11712,9061,102,2354,111,41,43,648,0.614,0.075,0.139,7.5%,13.9%
0500000US04013,04013,4,13,"Maricopa County, Arizona",3817117,1128741,2688376,2617329,2240055,177490,59252,128301,6723,5508,71047,0.564,0500000US04013,Maricopa County,4420568,1351415,3069153,2899345,2357571,245239,68353,197910,9579,20693,169808,0.615,0.051,0.090,5.1%,9.0%
0500000US04015,04015,4,15,"Mohave County, Arizona",200186,29569,170617,167363,159378,1715,3793,2016,316,145,3254,0.344,0500000US04015,Mohave County,213267,34126,179141,169936,160165,2063,4053,2600,365,690,9205,0.408,0.064,0.187,6.4%,18.7%
0500000US04017,04017,4,17,"Navajo County, Arizona",107449,11571,95878,94228,47181,842,45551,542,68,44,1650,0.616,0500000US04017,Navajo County,106717,10887,95830,92880,44786,674,46572,548,68,232,2950,0.622,0.007,0.011,0.7%,1.1%
