statefip,id,StateName,fbpop,fbshare,obs,fbage1664,entrp,tottax$,sppower$,tottax,sppower,voter,MapSite
New Jersey,34,New Jersey,2077801,23.4%,18130,78.4%,135615,"$32,126 ","$72,661 ",32126,72661,1167710,https://www.newamericaneconomy.org/locations/new-jersey/
New Mexico,35,New Mexico,197371,9.4%,1478,83.1%,13944,"$1,225 ","$3,779 ",1225,3779,87348,https://www.newamericaneconomy.org/locations/new-mexico/
New York,36,New York,4356713,22.4%,38247,75.9%,280585,"$61,345 ","$130,125 ",61345,130125,2475141,https://www.newamericaneconomy.org/locations/new-york/
North Carolina,37,North Carolina,865261,8.2%,7099,83.5%,62178,"$7,666 ","$21,569 ",7666,21569,334243,https://www.newamericaneconomy.org/locations/north-carolina/
North Dakota,38,North Dakota,27832,3.7%,172,85.8%,N/A,$197.00,$639.80,197.00,639.80,12066,https://www.newamericaneconomy.org/locations/north-dakota/
Ohio,39,Ohio,549537,4.7%,4358,76.7%,29257,"$6,028 ","$15,122 ",6028,15122,269577,https://www.newamericaneconomy.org/locations/ohio/
Oklahoma,40,Oklahoma,238488,6.0%,1696,84.7%,20037,"$1,894 ","$5,319 ",1894,5319,88880,https://www.newamericaneconomy.org/locations/oklahoma/
Oregon,41,Oregon,415986,9.9%,3195,79.9%,26140,"$4,150 ","$11,005 ",4150,11005,189306,https://www.newamericaneconomy.org/locations/oregon/
Pennsylvania,42,Pennsylvania,890995,7.0%,6242,79.2%,62134,"$9,944 ","$24,868 ",9944,24868,467892,https://www.newamericaneconomy.org/locations/pennsylvania/
Rhode Island,44,Rhode Island,142011,13.4%,1100,75.7%,6815,"$1,370 ","$3,650 ",1370,3650,78567,https://www.newamericaneconomy.org/locations/rhode-island/
South Carolina,45,South Carolina,288580,5.6%,2341,78.8%,22365,"$2,551 ","$7,168 ",2551,7168,114902,https://www.newamericaneconomy.org/locations/south-carolina/
South Dakota,46,South Dakota,35647,4.0%,223,85.6%,N/A,$198.30 ,$678.90 ,198.3,678.90,15805,https://www.newamericaneconomy.org/locations/south-dakota/
Tennessee,47,Tennessee,376180,5.5%,3031,82.2%,30787,"$3,172 ","$9,543 ",3172,9543,144125,https://www.newamericaneconomy.org/locations/tennessee/
Texas,48,Texas,4948998,17.1%,38723,82.0%,389165,"$40,643 ","$120,346 ",40643,120346,1876060,https://www.newamericaneconomy.org/locations/texas/
Utah,49,Utah,272134,8.5%,2033,84.5%,14504,"$1,839 ","$5,805 ",1839,5805,108439,https://www.newamericaneconomy.org/locations/utah/
Vermont,50,Vermont,27165,4.4%,216,72.7%,N/A,$310.80,$738.70,310.80,738.70,15265,https://www.newamericaneconomy.org/locations/vermont/
Virginia,51,Virginia,1089294,12.8%,9228,81.2%,80683,"$13,449 ","$33,608 ",13449,33608,556583,https://www.newamericaneconomy.org/locations/virginia/
Washington,53,Washington,1132307,14.9%,9550,81.3%,75421,"$15,483 ","$39,050 ",15483,39050,509695,https://www.newamericaneconomy.org/locations/washington/
West Virginia,54,West Virginia,27564,1.5%,261,81.9%,N/A,$245.60,$658.10,245.6,658.1,13669,https://www.newamericaneconomy.org/locations/west-virginia/
Wisconsin,55,Wisconsin,292976,5.0%,1860,82.2%,12409,"$2,633 ","$7,198 ",2633,7198,123759,https://www.newamericaneconomy.org/locations/alabama/
Wyoming,56,Wyoming,16788,2.9%,158,81.9%,N/A,$110.20,$372.00,110.20,372.00,6756,https://www.newamericaneconomy.org/locations/wyoming/
,,,,,,,,,,,,,
