countyID,county_name,obs_adj,totobsadj,obs,totrawobs,county_name_census,ACS_count,ACS_share,FF_count,FF_share_500,FF_share_200,Add_FF_share_500,Add_FF_share_200,County,Number of Immigrants,Immigrant Share of Population,Immigrant Taxes Paid (in M$),Immigrant Spending Power (in M$),Number of Immigrant Entrepreneurs,Number of Eligible Immigrant Voters,Source,no_data
04003,Cochise AZ,"1,061","6,845","1,444",9313,"Cochise County, Arizona",1,1,1,1,1,-  ,-,Cochise AZ,21447,16.9%,102.10,336.50,1297,11434,5-year 2018 American Community Survey,0
04005,Coconino AZ,291,"9,079",291,9079,"Coconino County, Arizona",1,1,1,1,1,-  ,-,Coconino AZ,6073,4.3%,37.60,108.70,N/A,2409,5-year 2018 American Community Survey,0
04007,Gila AZ,146,"3,321",299,6820,"Gila County, Arizona",1,1,1,1,1,-  ,-,Gila AZ,2161,3.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
04009,Graham AZ,101,"2,305",299,6820,"Graham County, Arizona",1,1,1,1,1,-  ,-,Graham AZ,1500,3.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
04011,Greenlee AZ,23,525,299,6820,"Greenlee County, Arizona",-  ,1,-  ,-  ,1,-  ,-,Greenlee AZ,N/A,3.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
04012,La Paz AZ,62,974,663,10476,"La Paz County, Arizona",1,1,1,1,1,-  ,-,La Paz AZ,1462,6.9%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
04013,Maricopa AZ,"26,876","200,834","26,876",200834,"Maricopa County, Arizona",1,1,1,1,1,-  ,-,Maricopa AZ,636393,15.0%,4685.20,13571.10,50124,244305,5-year 2018 American Community Survey,0
04015,Mohave AZ,601,"9,502",663,10476,"Mohave County, Arizona",1,1,1,1,1,-  ,-,Mohave AZ,14257,6.9%,85.20,248.70,N/A,6620,5-year 2018 American Community Survey,0
04017,Navajo AZ,161,"9,617",269,16029,"Navajo County, Arizona",1,1,1,1,1,-  ,-,Navajo AZ,2554,2.4%,10.30,32.80,N/A,1048,5-year 2018 American Community Survey,0
04019,Pima AZ,"5,899","50,869","5,899",50869,"Pima County, Arizona",1,1,1,1,1,-  ,-,Pima AZ,132861,13.0%,906.60,2654.90,10382,61316,5-year 2018 American Community Survey,0
04021,Pinal AZ,"1,739","18,461","2,008",24606,"Pinal County, Arizona",1,1,1,1,1,-  ,-,Pinal AZ,38094,9.1%,203.70,649.40,1350,15402,5-year 2018 American Community Survey,0
04023,Santa Cruz AZ,383,"2,468","1,444",9313,"Santa Cruz County, Arizona",1,1,1,1,1,-  ,-,Santa Cruz AZ,7732,16.9%,36.80,121.30,N/A,4122,5-year 2018 American Community Survey,0
04025,Yavapai AZ,527,"9,260",527,9260,"Yavapai County, Arizona",1,1,1,1,1,-  ,-,Yavapai AZ,14027,6.2%,114.80,322.70,1690,7376,5-year 2018 American Community Survey,0
04027,Yuma AZ,"2,192","9,976","2,192",9976,"Yuma County, Arizona",1,1,1,1,1,-  ,-,Yuma AZ,55086,26.5%,279.60,969.20,1590,23090,5-year 2018 American Community Survey,0
05001,Arkansas AR,17,"1,016",206,11668,"Arkansas County, Arkansas",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
05003,Ashley AR,28,"1,318",139,6459,"Ashley County, Arkansas",-  ,1,-  ,1,1,-  ,-,Ashley AR,N/A,2.7%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
05005,Baxter AR,54,"2,293",203,8557,"Baxter County, Arkansas",1,1,-  ,1,1,-  ,-,Baxter AR,1255,3.0%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
05007,Benton AR,"1,112","12,734","1,112",12734,"Benton County, Arkansas",1,1,1,1,1,-  ,-,Benton AR,29932,11.6%,289.30,775.70,1476,8384,5-year 2018 American Community Survey,0
05009,Boone AR,48,"2,037",203,8557,"Boone County, Arkansas",-  ,1,-  ,-  ,1,-  ,-,Boone AR,N/A,1.0%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
05011,Bradley AR,15,691,139,6459,"Bradley County, Arkansas",-  ,-  ,-  ,1,1,1,1,Bradley AR,N/A,6.7%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
05013,Calhoun AR,4,275,75,5383,"Calhoun County, Arkansas",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
05015,Carroll AR,36,"1,515",203,8557,"Carroll County, Arkansas",-  ,1,1,1,1,-  ,-,Carroll AR,2395,8.6%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
05017,Chicot AR,15,710,139,6459,"Chicot County, Arkansas",-  ,-  ,-  ,-  ,1,-  ,1,Chicot AR,N/A,2.1%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
05019,Clark AR,29,"1,085",203,7640,"Clark County, Arkansas",-  ,1,-  ,1,1,-  ,-,Clark AR,N/A,2.8%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
05021,Clay AR,16,867,176,9744,"Clay County, Arkansas",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
05023,Cleburne AR,21,"1,572",107,8188,"Cleburne County, Arkansas",-  ,1,-  ,-  ,1,-  ,-,Cleburne AR,N/A,1.7%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
05025,Cleveland AR,11,523,139,6459,"Cleveland County, Arkansas",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
05027,Columbia AR,17,"1,249",75,5383,"Columbia County, Arkansas",-  ,-  ,-  ,-  ,1,-  ,1,Columbia AR,N/A,2.0%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
05029,Conway AR,49,"1,193",322,7902,"Conway County, Arkansas",-  ,1,-  ,-  ,1,-  ,-,Conway AR,N/A,2.3%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
05031,Craighead AR,93,"5,266",264,16111,"Craighead County, Arkansas",1,1,1,1,1,-  ,-,Craighead AR,2421,2.4%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
05033,Crawford AR,160,"2,735",485,8289,"Crawford County, Arkansas",1,1,1,1,1,-  ,-,Crawford AR,4961,7.9%,25.10,81.90,N/A,2064,5-year 2018 American Community Survey,0
05035,Crittenden AR,42,"3,024",88,6367,"Crittenden County, Arkansas",-  ,1,-  ,1,1,-  ,-,Crittenden AR,N/A,1.7%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
05037,Cross AR,9,989,54,6145,"Cross County, Arkansas",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
05039,Dallas AR,6,414,75,5383,"Dallas County, Arkansas",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
05041,Desha AR,17,782,139,6459,"Desha County, Arkansas",-  ,-  ,-  ,-  ,1,-  ,1,Desha AR,N/A,3.9%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
05043,Drew AR,24,"1,117",139,6459,"Drew County, Arkansas",-  ,1,-  ,-  ,1,-  ,-,Drew AR,N/A,1.2%,N/A,N/A,N/A,N/A,U.S. Census Bureau,0
05045,Faulkner AR,145,"5,805",232,9303,"Faulkner County, Arkansas",1,1,1,1,1,-  ,-,Faulkner AR,3425,2.8%,23.10,60.80,N/A,N/A,5-year 2018 American Community Survey,0
05047,Franklin AR,47,"1,105",265,6279,"Franklin County, Arkansas",-  ,1,-  ,-  ,1,-  ,-,Franklin AR,N/A,5.8%,N/A,N/A,N/A,N/A,5-year 2018 American Community Survey,0
05049,Fulton AR,10,737,107,8188,"Fulton County, Arkansas",-  ,-  ,-  ,-  ,-  ,-  ,-,,N/A,N/A,N/A,N/A,N/A,N/A,,1
