statefip,id,StateName,fbpop,fbshare,fbage1664,entrp,voter,tottax$,tottax,sppower$,sppower,obs,MapSite
Montana,30,Montana,"23,562",2.1%,77.8%, - ,"10,366","$179,756,035.89",179.8,"$624,369,999.87",624.4,200.0,https://www.newamericaneconomy.org/locations/montana/
Nebraska,31,Nebraska,"143,395",7.3%,81.7%,"7,216","59,460","$1,179,743,778.55",1179.7,"$3,452,836,808.50",3452.8,779.0,https://www.newamericaneconomy.org/locations/alabama/
Nevada,32,Nevada,"576,926",18.4%,79.0%,"34,612","303,290","$4,559,268,125.99",4559.3,"$16,156,060,022.56",16156.1,5279.0,https://www.newamericaneconomy.org/locations/nevada/
New Hampshire,33,New Hampshire,"83,222",6.0%,76.7%, - ,"46,435","$1,116,958,147.18",1117.0,"$3,285,899,536.82",3285.9,729.0,https://www.newamericaneconomy.org/locations/new-hampshire/
New Jersey,34,New Jersey,"2,137,227",23.1%,77.5%,"142,207","1,174,035","$32,452,484,002.94",32452.5,"$79,290,873,241.07",79290.9,18130.0,https://www.newamericaneconomy.org/locations/new-jersey/
New Mexico,35,New Mexico,"193,513",9.1%,79.9%,"13,009","83,862","$1,366,942,790.17",1366.9,"$4,387,831,362.74",4387.8,1478.0,https://www.newamericaneconomy.org/locations/new-mexico/
New York,36,New York,"4,419,348",22.3%,74.7%,"289,506","2,568,732","$60,953,696,111.01",60953.7,"$138,007,221,719.18",138007.2,38247.0,https://www.newamericaneconomy.org/locations/new-york/
North Carolina,37,North Carolina,"871,765",8.3%,82.8%,"67,453","359,489","$8,416,560,970.55",8416.6,"$24,976,959,721.75",24977.0,7099.0,https://www.newamericaneconomy.org/locations/north-carolina/
North Dakota,38,North Dakota,"36,885",4.8%,87.0%, - ,"15,292","$393,565,985.15",393.6,"$1,282,940,606.05",1282.9,172.0,https://www.newamericaneconomy.org/locations/north-dakota/
Ohio,39,Ohio,"588,840",5.0%,76.8%,"38,399","308,788","$6,530,572,190.62",6530.6,"$17,399,196,143.97",17399.2,4358.0,https://www.newamericaneconomy.org/locations/ohio/
Oklahoma,40,Oklahoma,"217,967",5.5%,86.7%,"20,163","87,789","$1,728,260,895.51",1728.3,"$5,466,231,908.66",5466.2,1696.0,https://www.newamericaneconomy.org/locations/oklahoma/
Oregon,41,Oregon,"419,549",9.9%,81.3%,"31,058","200,608","$4,655,888,300.62",4655.9,"$13,001,869,916.43",13001.9,3195.0,https://www.newamericaneconomy.org/locations/oregon/
Pennsylvania,42,Pennsylvania,"945,299",7.3%,78.2%,"65,841","484,401","$11,455,629,332.74",11455.6,"$30,065,470,009.85",30065.5,6242.0,https://www.newamericaneconomy.org/locations/pennsylvania/
Rhode Island,44,Rhode Island,"161,526",14.7%,78.3%,"8,515","91,082","$1,661,605,492.37",1661.6,"$4,698,056,512.02",4698.1,1100.0,https://www.newamericaneconomy.org/locations/rhode-island/
South Carolina,45,South Carolina,"273,646",5.3%,79.4%,"25,155","113,498","$2,310,153,739.79",2310.2,"$7,059,403,079.71",7059.4,2341.0,https://www.newamericaneconomy.org/locations/south-carolina/
South Dakota,46,South Dakota,"26,711",3.0%,87.7%, - ,"9,662",,-,,-,223.0,https://www.newamericaneconomy.org/locations/south-dakota/
Tennessee,47,Tennessee,"372,236",5.3%,80.7%,"32,187","135,328","$3,009,458,430.05",3009.5,"$10,162,003,386.47",10162.0,3031.0,https://www.newamericaneconomy.org/locations/tennessee/
Texas,48,Texas,"5,098,492",17.3%,81.1%,"437,285","2,031,569","$45,377,654,402.42",45377.7,"$142,049,846,514.12",142049.8,38723.0,https://www.newamericaneconomy.org/locations/texas/
Utah,49,Utah,"278,724",8.4%,84.0%,"17,939","116,661","$2,424,628,352.84",2424.6,"$7,780,827,786.61",7780.8,2033.0,https://www.newamericaneconomy.org/locations/utah/
Vermont,50,Vermont,"31,354",4.9%,70.1%, - ,"15,950","$438,477,989.22",438.5,"$1,036,807,261.85",1036.8,216.0,https://www.newamericaneconomy.org/locations/vermont/
Virginia,51,Virginia,"1,059,577",12.3%,80.2%,"76,494","582,945","$14,610,935,094.40",14610.9,"$38,196,640,073.08",38196.6,9228.0,https://www.newamericaneconomy.org/locations/virginia/
Washington,53,Washington,"1,149,267",14.9%,81.0%,"74,472","538,101","$18,098,731,090.97",18098.7,"$47,208,355,214.84",47208.4,9550.0,https://www.newamericaneconomy.org/locations/washington/
West Virginia,54,West Virginia,"29,339",1.6%,71.0%, - ,"13,291","$324,593,893.75",324.6,"$880,333,061.29",880.3,261.0,https://www.newamericaneconomy.org/locations/west-virginia/
Wisconsin,55,Wisconsin,"303,439",5.1%,79.9%,"19,209","144,532","$3,067,530,555.49",3067.5,"$8,535,325,368.47",8535.3,1860.0,https://www.newamericaneconomy.org/locations/alabama/
Wyoming,56,Wyoming,"18,591",3.2%,86.5%, - ,"7,642","$146,980,409.55",147.0,"$511,892,027.98",511.9,158.0,https://www.newamericaneconomy.org/locations/wyoming/
