Account Name,CBSAFP,Year,Immigrant Residents,Immigrant Share of Population,"Foreign-Born, Ages 0-15","Foreign-Born, Ages 16-64",Immigrant Entrepreneurs,How Much More Likely Are The Foreign-Born to Be Entrepreneurs than the Native-Born,Immigrant Household Income,Immigrant Taxes Paid,tottaxMSA,State & Local Taxes,Federal Taxes,Immigrant Spending Power,sppowerMSA,Immigrants eligible to vote,Immigrant homeowners
Birmingham Metro Area,13820,2018,41630,3.9%,5.20%,*85.3%,2966,43.50%,"$1,352,600,000.00 ","$358,300,000.00 ",358.30,"$94,400,000.00 ","$264,000,000.00 ","$994,200,000.00 ",994.20,13012,8936
Boise Metro Area,14260,2018,45745,6.6%,8.10%,*81.6%,2187,,"$1,179,400,000.00 ","$292,500,000.00 ",292.50,"$95,000,000.00 ","$197,500,000.00 ","$887,000,000.00 ",887.00,16723,10792
Boston Metro Area,14460,2018,945875,19.4%,5.60%,*79.8%,57403,20.20%,"$42,160,700,000.00 ","$12,446,900,000.00 ",12446.90,"$3,627,700,000.00 ","$8,819,200,000.00 ","$29,713,800,000.00 ",29713.80,460246,186431
Bridgeport Metro Area,14860,2018,204287,21.6%,5.90%,*81.0%,20453,39.80%,"$10,007,000,000.00 ","$3,251,500,000.00 ",3251.50,"$1,062,300,000.00 ","$2,189,100,000.00 ","$6,755,500,000.00 ",6755.50,93034,44401
Buffalo Metro Area,15380,2018,73012,6.5%,9.40%,*70.6%,3183,42.90%,"$2,172,100,000.00 ","$678,500,000.00 ",678.50,"$264,600,000.00 ","$413,800,000.00 ","$1,493,600,000.00 ",1493.60,34201,15379
Cape Coral Metro Area,15980,2018,136569,18.1%,4.50%,*74.5%,11114,21.70%,"$3,959,200,000.00 ","$1,014,300,000.00 ",1014.30,"$248,800,000.00 ","$765,400,000.00 ","$2,944,900,000.00 ",2944.90,66850,32830
Charleston Metro Area,16700,2018,42224,5.4%,6.40%,*78.8%,4402,88.40%,"$1,662,200,000.00 ","$473,300,000.00 ",473.30,"$128,700,000.00 ","$344,600,000.00 ","$1,188,900,000.00 ",1188.90,17147,8805
Charlotte Metro Area,16740,2018,254095,9.8%,6.20%,*84.2%,18583,37.50%,"$9,468,000,000.00 ","$2,565,600,000.00 ",2565.60,"$787,600,000.00 ","$1,777,900,000.00 ","$6,902,400,000.00 ",6902.40,93179,60900
Chattanooga Metro Area,16860,2018,21841,4.0%,6.70%,*82.5%,1578,28.40%,"$570,700,000.00 ","$136,500,000.00 ",136.50,"$39,300,000.00 ","$97,100,000.00 ","$434,200,000.00 ",434.20,8165,4154
Chicago Metro Area,16980,2018,1691597,17.8%,2.90%,*79.6%,121895,50.20%,"$64,365,800,000.00 ","$19,165,600,000.00 ",19165.60,"$7,197,100,000.00 ","$11,968,400,000.00 ","$45,200,200,000.00 ",45200.20,842150,454206
Cincinnati Metro Area,17140,2018,102664,4.7%,6.80%,*81.8%,5030,13.30%,"$3,898,400,000.00 ","$1,142,200,000.00 ",1142.20,"$368,100,000.00 ","$774,000,000.00 ","$2,756,200,000.00 ",2756.20,44729,22372
Cleveland Metro Area,17460,2018,126873,6.2%,4.60%,*70.5%,6791,38.00%,"$4,666,400,000.00 ","$1,372,300,000.00 ",1372.30,"$438,700,000.00 ","$933,600,000.00 ","$3,294,200,000.00 ",3294.20,73197,36182
Colorado Springs Metro Area,17820,2018,48254,6.8%,4.80%,*78.6%,3271,28.30%,"$1,516,200,000.00 ","$392,000,000.00 ",392.00,"$122,300,000.00 ","$269,700,000.00 ","$1,124,300,000.00 ",1124.30,23408,12106
Columbia Metro Area,17900,2018,40189,4.9%,6.30%,*82.2%,2668,48.60%,"$1,174,000,000.00 ","$302,100,000.00 ",302.10,"$93,300,000.00 ","$208,800,000.00 ","$871,900,000.00 ",871.90,14682,9748
Columbus Metro Area,18140,2018,186498,8.9%,7.20%,*84.2%,9359,5.90%,"$6,396,200,000.00 ","$1,820,800,000.00 ",1820.80,"$613,100,000.00 ","$1,207,700,000.00 ","$4,575,400,000.00 ",4575.40,83047,31909
Dallas Metro Area,19100,2018,1413849,18.9%,5.20%,*85.2%,102946,25.60%,"$47,668,700,000.00 ","$12,267,400,000.00 ",12267.40,"$3,815,000,000.00 ","$8,452,400,000.00 ","$35,401,300,000.00 ",35401.30,500217,315618
Dayton Metro Area,19380,2018,36228,4.5%,7.40%,*78.7%,1770,32.30%,"$1,207,500,000.00 ","$352,400,000.00 ",352.40,"$113,900,000.00 ","$238,500,000.00 ","$855,100,000.00 ",855.10,16469,7090
Deltona Metro Area,19660,2018,55291,8.4%,2.50%,*66.3%,5105,58.40%,"$1,779,200,000.00 ","$439,900,000.00 ",439.90,"$116,300,000.00 ","$323,600,000.00 ","$1,339,300,000.00 ",1339.30,36776,17799
Denver Metro Area,19740,2018,358291,12.3%,6.30%,*83.9%,22418,,"$12,712,700,000.00 ","$3,363,500,000.00 ",3363.50,"$1,007,600,000.00 ","$2,355,900,000.00 ","$9,349,100,000.00 ",9349.10,151651,73150
Des Moines Metro Area,19780,2018,51855,7.7%,8.50%,*84.7%,2228,,"$1,390,400,000.00 ","$362,300,000.00 ",362.30,"$139,600,000.00 ","$222,700,000.00 ","$1,028,000,000.00 ",1028.00,21440,10611
Detroit Metro Area,19820,2018,450044,10.4%,6.40%,*75.5%,22345,26.30%,"$17,032,100,000.00 ","$4,731,400,000.00 ",4731.40,"$1,425,800,000.00 ","$3,305,600,000.00 ","$12,300,600,000.00 ",12300.60,242683,130778
Durham Metro Area,20500,2018,71352,11.6%,4.70%,*87.2%,4372,13.30%,"$2,403,600,000.00 ","$670,800,000.00 ",670.80,"$199,700,000.00 ","$471,100,000.00 ","$1,732,800,000.00 ",1732.80,22958,14590
El Paso Metro Area,21340,2018,206117,24.4%,3.00%,*72.8%,13239,90.90%,"$4,543,600,000.00 ","$1,031,400,000.00 ",1031.40,"$427,900,000.00 ","$603,500,000.00 ","$3,512,200,000.00 ",3512.20,95815,60134
Fresno Metro Area,23420,2018,212122,21.4%,4.90%,*82.3%,11270,11.90%,"$5,070,300,000.00 ","$1,219,700,000.00 ",1219.70,"$474,500,000.00 ","$745,200,000.00 ","$3,850,600,000.00 ",3850.60,84721,37749
Grand Rapids Metro Area,24340,2018,72496,6.9%,7.90%,*80.5%,2617,,"$1,955,500,000.00 ","$506,100,000.00 ",506.10,"$167,900,000.00 ","$338,200,000.00 ","$1,449,400,000.00 ",1449.40,29161,15171
Greensboro Metro Area,24660,2018,65654,8.7%,7.50%,*83.3%,4042,15.80%,"$1,717,400,000.00 ","$429,300,000.00 ",429.30,"$147,300,000.00 ","$282,000,000.00 ","$1,288,100,000.00 ",1288.10,24146,14752
Greenville Metro Area,24860,2018,53818,6.1%,7.50%,*81.2%,3637,34.50%,"$1,603,200,000.00 ","$414,400,000.00 ",414.40,"$127,000,000.00 ","$287,300,000.00 ","$1,188,900,000.00 ",1188.90,17526,11308
Harrisburg Metro Area,25420,2018,34918,6.1%,8.40%,*81.3%,2028,31.50%,"$1,199,100,000.00 ","$336,500,000.00 ",336.50,"$118,000,000.00 ","$218,500,000.00 ","$862,600,000.00 ",862.60,16916,7228
Hartford Metro Area,25540,2018,158485,13.1%,3.80%,*76.4%,9617,23.20%,"$7,265,400,000.00 ","$2,264,700,000.00 ",2264.70,"$802,600,000.00 ","$1,462,100,000.00 ","$5,000,700,000.00 ",5000.70,89626,44014
Houston Metro Area,26420,2018,1645427,23.5%,6.10%,*82.7%,134288,60.50%,"$55,591,100,000.00 ","$14,560,400,000.00 ",14560.40,"$4,404,200,000.00 ","$10,156,200,000.00 ","$41,030,700,000.00 ",41030.70,626637,390620
Indianapolis Metro Area,26900,2018,145476,7.1%,9.50%,*83.9%,8495,27.50%,"$4,533,100,000.00 ","$1,240,100,000.00 ",1240.10,"$416,100,000.00 ","$824,000,000.00 ","$3,293,000,000.00 ",3293.00,52541,28651
Jackson Metro Area,27140,2018,14165,2.4%,8.20%,*80.9%,1518,114.20%,"$411,600,000.00 ","$111,100,000.00 ",111.10,"$34,000,000.00 ","$77,000,000.00 ","$300,500,000.00 ",300.50,4719,2979
Jacksonville Metro Area,27260,2018,156727,10.2%,7.00%,*77.8%,11538,32.90%,"$5,646,400,000.00 ","$1,431,800,000.00 ",1431.80,"$340,800,000.00 ","$1,090,900,000.00 ","$4,214,600,000.00 ",4214.60,83941,39230
Kansas City Metro Area,28140,2018,154763,7.2%,9.80%,*82.0%,9067,24.70%,"$4,505,200,000.00 ","$1,179,000,000.00 ",1179.00,"$419,700,000.00 ","$759,300,000.00 ","$3,326,200,000.00 ",3326.20,63537,33413
Knoxville Metro Area,28940,2018,33629,4.0%,7.80%,*79.3%,2531,45.40%,"$1,019,300,000.00 ","$254,300,000.00 ",254.30,"$63,100,000.00 ","$191,200,000.00 ","$765,000,000.00 ",765.00,12434,6516
Lakeland Metro Area,29460,2018,65687,9.8%,4.00%,*78.1%,3860,19.70%,"$1,563,600,000.00 ","$357,700,000.00 ",357.70,"$108,000,000.00 ","$249,700,000.00 ","$1,205,900,000.00 ",1205.90,28385,17393
Las Vegas Metro Area,29820,2018,498431,22.3%,2.40%,*81.1%,33573,31.80%,"$15,161,400,000.00 ","$3,552,600,000.00 ",3552.60,"$913,400,000.00 ","$2,639,200,000.00 ","$11,608,800,000.00 ",11608.80,244908,114619
Little Rock Metro Area,30780,2018,31553,4.3%,5.90%,*85.6%,2919,79.60%,"$912,000,000.00 ","$249,700,000.00 ",249.70,"$84,200,000.00 ","$165,400,000.00 ","$662,400,000.00 ",662.40,9900,6634
Los Angeles Metro Area,31080,2018,4377152,32.9%,2.80%,*77.3%,415555,36.90%,"$150,804,500,000.00 ","$41,883,500,000.00 ",41883.50,"$14,123,800,000.00 ","$27,759,700,000.00 ","$108,921,100,000.00 ",108921.10,2254097,783842
Louisville Metro Area,31140,2018,80261,6.3%,10.80%,*82.1%,6794,108.80%,"$2,547,000,000.00 ","$702,000,000.00 ",702.00,"$236,200,000.00 ","$465,800,000.00 ","$1,845,100,000.00 ",1845.10,31237,14890
Madison Metro Area,31540,2018,50917,7.9%,5.70%,*86.2%,2031,,"$1,737,300,000.00 ","$493,200,000.00 ",493.20,"$170,400,000.00 ","$322,800,000.00 ","$1,244,100,000.00 ",1244.10,18202,9053
McAllen Metro Area,32580,2018,239420,27.6%,5.20%,*77.4%,29255,180.00%,"$4,388,300,000.00 ","$965,100,000.00 ",965.10,"$410,800,000.00 ","$554,300,000.00 ","$3,423,100,000.00 ",3423.10,58549,68954
Memphis Metro Area,32820,2018,73860,5.5%,6.10%,*84.3%,5935,104.80%,"$2,236,700,000.00 ","$545,200,000.00 ",545.20,"$144,700,000.00 ","$400,500,000.00 ","$1,691,400,000.00 ",1691.40,22640,16335
Miami Metro Area,33100,2018,2550947,41.2%,4.40%,*73.7%,245641,36.30%,"$72,994,500,000.00 ","$17,662,400,000.00 ",17662.40,"$4,831,100,000.00 ","$12,831,300,000.00 ","$55,332,100,000.00 ",55332.10,1409628,567382
Milwaukee Metro Area,33340,2018,114417,7.3%,6.70%,*78.6%,6351,44.50%,"$3,830,600,000.00 ","$1,090,100,000.00 ",1090.10,"$369,200,000.00 ","$720,900,000.00 ","$2,740,500,000.00 ",2740.50,48136,25410
Minneapolis Metro Area,33460,2018,395624,11.0%,6.00%,*83.7%,16330,,"$13,333,800,000.00 ","$3,756,200,000.00 ",3756.20,"$1,277,400,000.00 ","$2,478,800,000.00 ","$9,577,600,000.00 ",9577.60,202543,74804
Nashville Metro Area,34980,2018,173026,9.1%,9.90%,*83.0%,12892,22.90%,"$5,660,600,000.00 ","$1,415,900,000.00 ",1415.90,"$340,900,000.00 ","$1,075,000,000.00 ","$4,244,700,000.00 ",4244.70,65772,33812
New Haven Metro Area,35300,2018,110687,12.9%,3.70%,*80.0%,8432,39.40%,"$4,491,600,000.00 ","$1,357,100,000.00 ",1357.10,"$497,100,000.00 ","$860,000,000.00 ","$3,134,600,000.00 ",3134.60,53328,26154
New Orleans Metro Area,35380,2018,96388,7.6%,7.30%,*76.1%,11120,92.70%,"$2,553,100,000.00 ","$648,600,000.00 ",648.60,"$223,200,000.00 ","$425,400,000.00 ","$1,904,500,000.00 ",1904.50,38630,18050
New York Metro Area,35620,2018,5735503,29.7%,3.90%,*77.6%,403921,28.90%,"$244,696,600,000.00 ","$77,585,600,000.00 ",77585.60,"$28,126,400,000.00 ","$49,459,100,000.00 ","$167,111,100,000.00 ",167111.10,3200472,1045698
North Port Metro Area,35840,2018,104059,12.7%,3.30%,*68.4%,7814,6.00%,"$3,498,200,000.00 ","$891,600,000.00 ",891.60,"$224,200,000.00 ","$667,400,000.00 ","$2,606,600,000.00 ",2606.60,51775,30325
Ogden Metro Area,36260,2018,36402,5.6%,5.10%,*85.1%,1758,,"$909,500,000.00 ","$212,100,000.00 ",212.10,"$73,100,000.00 ","$139,000,000.00 ","$697,400,000.00 ",697.40,15838,9186
Oklahoma City Metro Area,36420,2018,117447,8.4%,6.30%,*82.2%,6458,,"$2,727,000,000.00 ","$653,300,000.00 ",653.30,"$262,800,000.00 ","$390,400,000.00 ","$2,073,700,000.00 ",2073.70,41238,25115
Omaha Metro Area,36540,2018,72811,7.8%,8.60%,*86.9%,3819,,"$2,172,800,000.00 ","$609,700,000.00 ",609.70,"$208,700,000.00 ","$401,000,000.00 ","$1,563,200,000.00 ",1563.20,25069,13439
Orlando Metro Area,36740,2018,486799,18.9%,6.10%,*77.6%,35402,39.00%,"$13,353,900,000.00 ","$3,206,000,000.00 ",3206.00,"$889,200,000.00 ","$2,316,900,000.00 ","$10,147,900,000.00 ",10147.90,252088,108123
Oxnard Metro Area,37100,2018,180840,21.3%,3.20%,*78.7%,12956,,"$6,209,800,000.00 ","$1,727,200,000.00 ",1727.20,"$582,900,000.00 ","$1,144,300,000.00 ","$4,482,500,000.00 ",4482.50,86483,37830
Palm Bay Metro Area,37340,2018,49962,8.7%,2.90%,*67.3%,3923,72.50%,"$1,435,600,000.00 ","$352,200,000.00 ",352.20,"$95,900,000.00 ","$256,400,000.00 ","$1,083,400,000.00 ",1083.40,29361,15197
Philadelphia Metro Area,37980,2018,699344,11.5%,5.00%,*79.6%,43682,35.60%,"$29,460,800,000.00 ","$8,776,900,000.00 ",8776.90,"$2,666,500,000.00 ","$6,110,400,000.00 ","$20,683,800,000.00 ",20683.80,366837,171459
Phoenix Metro Area,38060,2018,699194,14.4%,4.00%,*82.3%,56419,50.00%,"$21,469,500,000.00 ","$5,464,100,000.00 ",5464.10,"$1,801,400,000.00 ","$3,662,600,000.00 ","$16,005,400,000.00 ",16005.40,290822,171092
Pittsburgh Metro Area,38300,2018,88801,3.8%,6.10%,*76.7%,4979,36.70%,"$3,829,300,000.00 ","$1,166,000,000.00 ",1166.00,"$349,800,000.00 ","$816,200,000.00 ","$2,663,200,000.00 ",2663.20,41846,21491
Portland Metro Area,38900,2018,321473,13.0%,4.90%,*82.6%,21609,,"$12,407,600,000.00 ","$3,449,800,000.00 ",3449.80,"$1,097,400,000.00 ","$2,352,400,000.00 ","$8,957,800,000.00 ",8957.80,157857,75448
Poughkeepsie Metro Area,26460,2018,75298,11.2%,3.10%,*79.8%,4538,12.80%,"$3,071,600,000.00 ","$989,400,000.00 ",989.40,"$379,100,000.00 ","$610,300,000.00 ","$2,082,200,000.00 ",2082.20,41279,19059
Providence Metro Area,39300,2018,218236,13.5%,4.70%,*75.7%,9924,7.20%,"$7,059,800,000.00 ","$1,886,000,000.00 ",1886.00,"$643,300,000.00 ","$1,242,700,000.00 ","$5,173,800,000.00 ",5173.80,125681,52702
Provo Metro Area,39340,2018,43034,7.2%,4.90%,*87.6%,2552,0.90%,"$1,131,400,000.00 ","$269,800,000.00 ",269.80,"$90,500,000.00 ","$179,300,000.00 ","$861,600,000.00 ",861.60,14221,8692
Raleigh Metro Area,39580,2018,156565,11.5%,6.00%,*85.3%,10978,21.50%,"$6,761,800,000.00 ","$1,908,000,000.00 ",1908.00,"$549,400,000.00 ","$1,358,600,000.00 ","$4,853,800,000.00 ",4853.80,64503,38451
Richmond Metro Area,40060,2018,105515,8.3%,8.80%,*79.7%,7440,43.50%,"$3,857,300,000.00 ","$1,075,600,000.00 ",1075.60,"$340,000,000.00 ","$735,600,000.00 ","$2,781,700,000.00 ",2781.70,43196,21332
Riverside Metro Area,40140,2018,981149,21.2%,2.50%,*79.7%,74296,57.40%,"$30,545,100,000.00 ","$8,077,500,000.00 ",8077.50,"$2,852,700,000.00 ","$5,224,800,000.00 ","$22,467,600,000.00 ",22467.60,501138,248201
Rochester Metro Area,40380,2018,73387,6.8%,5.70%,*72.6%,3876,27.10%,"$2,390,400,000.00 ","$751,400,000.00 ",751.40,"$292,700,000.00 ","$458,700,000.00 ","$1,639,000,000.00 ",1639.00,39284,18805
Sacramento Metro Area,40900,2018,453333,19.3%,5.80%,*78.4%,34900,39.80%,"$15,556,000,000.00 ","$4,414,100,000.00 ",4414.10,"$1,454,800,000.00 ","$2,959,200,000.00 ","$11,142,000,000.00 ",11142.00,248251,94894
Salt Lake City Metro Area,41620,2018,154205,12.6%,6.70%,*84.4%,8928,4.80%,"$4,439,100,000.00 ","$1,086,000,000.00 ",1086.00,"$354,200,000.00 ","$731,800,000.00 ","$3,353,200,000.00 ",3353.20,50728,30848
San Antonio Metro Area,41700,2018,304348,12.1%,4.30%,*78.9%,26689,109.40%,"$7,388,200,000.00 ","$1,809,800,000.00 ",1809.80,"$639,000,000.00 ","$1,170,700,000.00 ","$5,578,400,000.00 ",5578.40,121131,69792
San Diego Metro Area,41740,2018,784789,23.5%,4.10%,*78.1%,60262,31.80%,"$28,615,900,000.00 ","$8,115,700,000.00 ",8115.70,"$2,685,600,000.00 ","$5,430,100,000.00 ","$20,500,200,000.00 ",20500.20,415580,152853
San Francisco Metro Area,41860,2018,1455937,30.8%,3.10%,*77.4%,111491,4.00%,"$80,452,600,000.00 ","$25,893,700,000.00 ",25893.70,"$7,777,200,000.00 ","$18,116,500,000.00 ","$54,558,900,000.00 ",54558.90,812302,319142
San Jose Metro Area,41940,2018,766125,38.4%,3.60%,*80.8%,42058,,"$53,875,100,000.00 ","$18,211,300,000.00 ",18211.30,"$5,274,600,000.00 ","$12,936,700,000.00 ","$35,663,900,000.00 ",35663.90,394976,164413
Seattle Metro Area,42660,2018,767866,19.5%,5.50%,*81.3%,51851,14.40%,"$38,080,700,000.00 ","$11,053,300,000.00 ",11053.30,"$2,940,900,000.00 ","$8,112,400,000.00 ","$27,027,400,000.00 ",27027.40,367368,173659
Spokane Metro Area,44060,2018,28739,5.3%,4.30%,*77.7%,1985,25.20%,"$838,200,000.00 ","$227,100,000.00 ",227.10,"$77,500,000.00 ","$149,600,000.00 ","$611,100,000.00 ",611.10,14391,6808
Springfield Metro Area,44140,2018,57257,8.2%,5.50%,*77.3%,3118,20.10%,"$1,708,300,000.00 ","$466,200,000.00 ",466.20,"$151,700,000.00 ","$314,400,000.00 ","$1,242,100,000.00 ",1242.10,29161,12849
St. Louis Metro Area,41180,2018,141341,5.0%,7.00%,*79.9%,8692,34.20%,"$6,096,800,000.00 ","$1,774,100,000.00 ",1774.10,"$519,300,000.00 ","$1,254,800,000.00 ","$4,322,700,000.00 ",4322.70,72538,38146
Stockton Metro Area,44700,2018,184199,24.5%,3.50%,*81.9%,8784,20.60%,"$5,225,200,000.00 ","$1,332,000,000.00 ",1332.00,"$483,500,000.00 ","$848,500,000.00 ","$3,893,200,000.00 ",3893.20,83732,35131
Syracuse Metro Area,45060,2018,40917,6.3%,9.30%,*74.9%,1774,18.20%,"$1,122,800,000.00 ","$350,000,000.00 ",350.00,"$137,300,000.00 ","$212,700,000.00 ","$772,800,000.00 ",772.80,19357,8008
Tampa Metro Area,45300,2018,451087,14.4%,4.40%,*75.0%,37117,41.60%,"$13,637,800,000.00 ","$3,327,000,000.00 ",3327.00,"$890,700,000.00 ","$2,436,200,000.00 ","$10,310,800,000.00 ",10310.80,231117,113917
Toledo Metro Area,45780,2018,22453,3.5%,4.30%,*79.3%,1168,32.30%,"$828,600,000.00 ","$239,500,000.00 ",239.50,"$79,200,000.00 ","$160,300,000.00 ","$589,100,000.00 ",589.10,11512,5996
Tucson Metro Area,46060,2018,135363,13.0%,3.10%,*75.4%,8410,24.00%,"$3,926,200,000.00 ","$1,009,500,000.00 ",1009.50,"$336,700,000.00 ","$672,800,000.00 ","$2,916,700,000.00 ",2916.70,66172,36296
Tulsa Metro Area,46140,2018,64989,6.5%,6.20%,*86.0%,4339,19.80%,"$1,660,900,000.00 ","$413,500,000.00 ",413.50,"$157,300,000.00 ","$256,200,000.00 ","$1,247,400,000.00 ",1247.40,21084,14748
Urban Honolulu Metro Area,46520,2018,194244,19.8%,5.20%,*69.4%,13060,84.80%,"$6,267,400,000.00 ","$1,814,200,000.00 ",1814.20,"$675,300,000.00 ","$1,138,900,000.00 ","$4,453,200,000.00 ",4453.20,109755,31868
Virginia Beach Metro Area,47260,2018,116868,6.6%,6.80%,*77.8%,6762,43.60%,"$3,990,300,000.00 ","$1,115,600,000.00 ",1115.60,"$352,400,000.00 ","$763,200,000.00 ","$2,874,700,000.00 ",2874.70,60377,25064
Washington Metro Area,47900,2018,1427346,22.8%,4.90%,*81.8%,102048,36.80%,"$63,428,800,000.00 ","$18,891,000,000.00 ",18891.00,"$5,990,700,000.00 ","$12,900,300,000.00 ","$44,537,800,000.00 ",44537.80,735541,325170
Wichita Metro Area,48620,2018,48902,7.7%,5.30%,*84.8%,1881,,"$1,267,900,000.00 ","$333,500,000.00 ",333.50,"$126,100,000.00 ","$207,500,000.00 ","$934,400,000.00 ",934.40,20568,12452
Winston Metro Area,49180,2018,46180,7.0%,5.10%,*86.4%,2705,7.90%,"$1,199,200,000.00 ","$296,600,000.00 ",296.60,"$102,500,000.00 ","$194,100,000.00 ","$902,600,000.00 ",902.60,14726,10275
Worcester Metro Area,49340,2018,111305,11.7%,5.20%,*79.6%,6434,25.60%,"$4,439,700,000.00 ","$1,277,000,000.00 ",1277.00,"$394,500,000.00 ","$882,500,000.00 ","$3,162,700,000.00 ",3162.70,56380,24713
